,Value(uM),Subject Age,Subject Sex,Subject Information
475,4894.19(1723.06),Adult (>18 years old),Both,Normal
476,,Adult (>18 years old),Both,Normal
477,4000.0-6000.0,Adult (>18 years old),Both,Normal
478,,Adult (>18 years old),Both,Normal
479,4823.600 +/- 249.784,Children (1-13 years old),Both,Normal
480,5300.0 (4900.0 - 5700.0),Adult (>18 years old),Both,Normal
481,4695.933 +/- 327.494,Children (1-13 years old),Both,Normal
482,4750.0 +/- 184.0,Newborn (0-30 days old),Both,Normal
483,2200.0 (1100.0 - 3300.0),Newborn (0-30 days old),Both,Normal
484,4440.0 +/- 370.0,Adult (>18 years old),Both,Normal
485,4570.0 +/- 411.0,Adult (>18 years old),Male,Normal
486,2750.0 (2200.0-3300.0),Newborn (0-30 days old),Both,Normal
487,4470.0 +/- 346.0,Adult (>18 years old),Female,Normal
488,4450.0 (3300.0 - 5600.0),Children (1-13 years old),Both,Normal
489,5450.0 (4200.0 - 6700.0),Elderly (>65 years old),Both,Normal
490,3500-7000,Infant (0-1 year old),Not Specified,Normal
491,4971.3 +/- 372.8,Adult (>18 years old),Both,Normal
492,4440.0 +/- 100.0,Adult (>18 years old),Both,Normal
493,4470.0 +/- 110.0,Adult (>18 years old),Both,Normal
494,242.0 +/- 44.0,Adult (>18 years old),Male,Normal
495,258.0 +/- 64.0,Adult (>18 years old),Female,Normal
496,106-272,Newborn (0-30 days old),Both,Normal
497,150-350,Infant (1 - 3 months old),Both,Normal
498,125-400,Children (3 months - 6 years old),Both,Normal
499,140-490,Children (6 - 18 years old),Both,Normal
500,329.9 +/- 105.6,Adult (>18 years old),Both,Normal
501,147-321,Not Specified,Not Specified,Normal
502,,Adult (>18 years old),Both,Normal
503,149-301,Infant (0-1 year old),Not Specified,Normal
504,184-356,Newborn (0-30 days old),Not Specified,Normal
505,140-420,Infant (0-1 year old),Not Specified,Normal
506,200-600,Newborn (0-30 days old),Not Specified,Normal
507,80-341,Infant (0-1 year old),Not Specified,Normal
508,100-320,Newborn (0-30 days old),Not Specified,Normal
509,126-384,Newborn (0-30 days old),Not Specified,Normal
510,280.0 (140.0-420.0),Newborn (0-30 days old),Both,Normal
511,<300,Children (1 - 13 years old),Male,Normal
512,100 - 310,Children (1 - 13 years old),Not Specified,Normal
513,120-320,Adult (>18 years old),Both,Normal
514,213  +/- 35,Infant (0-1 year old),Both,Normal
515,56-308,Infant (0-1 year old),Both,Normal
516,60-310,Children (1-13 years old),Both,Normal
517,180-709,Newborn (0-30 days old),Not Specified,Normal
518,212.4 +/- 57.4,Adult (>18 years old),Male,Normal
519,150.0-440.0,Adult (>18 years old),Both,Normal
520,220 +/- 33,Children (1 - 13 years old),Both,Normal
521,300 +/- 114,Adult (>18 years old),Female,Normal
522,255.4 +/- 65.9,Adult (>18 years old),Both,Normal
523,306.63,Children (1-13 years old),Not Specified,Normal
524,236 +/- 43,Adult (>18 years old),Male,Normal
525,304.4(255.1-362.8),Children (1-13 uears old),Both,Normal
526,230.0 (178.0-282.0),Adult (>18 years old),Both,Normal
527,325.4 +/- 126.8,Adult (>18 years old),Both,Normal
528,,Adult (>18 years old),Both,Normal
529,460.0 +/- 275.0,Newborn (0-30 days old),Not Specified,Normal
530,234.0 +/- 34.0,Children (1-13 years old),Male,Normal
531,9.9 +/- 2.3,Newborn (0-30 days old),Both,Normal
532,10.2 +/- 1.8,Adult (>18 years old),Both,Normal
533,4.35 +/- 2.10,Adolescent (13-18 years old),Male,Normal
534,3.20 +/- 2.20,Adolescent (13-18 years old),Male,Normal
535,1.0738-1.725,Adult (>18 years old),Not Specified,Normal
536,800.50 +/- 201.73,Adult (>18 years old),Both,Normal
537,3.67 +/- 0.241,Adult (>18 years old),Both,Normal
538,12.5 +/- 5.2,Infant (0-1 year old),Male,Normal
539,10.9 +/- 4.5,Children (1-13 years old),Male,Normal
540,12.00 +/- 3.00,Adolescent (13-18 years old),Male,Normal
541,12.8 +/- 4.6,Adult (>18 years old),Male,Normal
542,37.03 +/- 4.76,Adult (>18 years old),Both,Normal
543,30.0 +/- 3.0,Adult (>18 years old),Both,Normal
544,165.0 +/- 32.0,Adult (>18 years old),Male,Normal
545,165.0 +/- 23.0,Adult (>18 years old),Female,Normal
546,2.8 +/- 0.9,Adult (>18 years old),Both,Normal
547,1.0-3.5,Children (1-13 years old),Not Specified,Normal
548,0.35-8.0,Children (1-13 years old),Not Specified,Normal
549,0.7-1.4,Children (1-13 years old),Both,Normal
550,0.7-3.5,Adult (>18 years old),Both,Normal
551,1.3-3.3,Adult (>18 years old),Female,Normal
552,1.90 +/- 0.68,Adult (>18 years old),Both,Normal
553,3.08 (0.87-3.64),Adult (>18 years old),Both,Normal
554,19.0 (3.0-37.0),Adult (>18 years old),Not Specified,Normal
555,1.900 +/- 0.680,Adult (>18 years old),Both,Normal
556,2.0 (0.0 - 5.0),Adult (>18 years old),Both,Normal
557,16.8 (0.81-32.9),Adult (>18 years old),Both,Normal
558,1.22 +/- 0.40,Adult (>18 years old),Both,Normal
559,0.043 (0.014 - 0.071),Adult (>18 years old),Both,Normal
560,,Adult (>18 years old),Both,Normal
561,40.0 +/- 19.0,Newborn (0-30 days old),Both,Normal
562,43.0 +/-  9.0,Adult (>18 years old),Male,Normal
563,50.0 +/- 16.0,Adult (>18 years old),Female,Normal
564,39.0 +/- 9.0,Adult (>18 years old),Both,Normal
565,68.0 (33.0 - 139.0),Elderly (>65 years old),Both,Normal
566,80-230,Children (1 - 13 years old),Male,Normal
567,284.6(213.9),Adult (>18 years old),Both,Normal
568,331.2-532.0,Adult (>18 years old),Both,Normal
569,50 +/- 16,Adult (>18 years old),Female,Normal
570,43 +/- 9,Adult (>18 years old),Male,Normal
571,53.0 (28.0-102.0),Adult (>18 years old),Both,Normal
572,431.6 +/- 100.4,Adult (>18 years old),Both,Normal
573,0.8 +/- 0.5,Adult (>18 years old),Both,Normal
574,1.5 (0.0-4.0),Adult (>18 years old),Both,Normal
575,0.49-1.4,Infant (0-1 year old),Both,Normal
576,0.06 +/- 0.04,Adult (>18 years old),Both,Normal
577,0.6(0.4-1.9),Infant (0-1 year old),Both,Normal
578,0.88 +/- 0.26,Children (1-13 years old),Not Specified,Normal
579,10.0 (0.0-24.0),Adult (>18 years old),Both,Normal
580,<5,Adult (>18 years old),Both,Normal
581,,Adult (>18 years old),Both,Normal
582,,Adult (>18 years old),Both,Normal
583,,Adult (>18 years old),Both,Normal
584,,Adult (>18 years old),Female,Normal
585,,Adult (>18 years old),Female,Normal
586,224.5 +/- 119.8,Adult (>18 years old),Both,Normal
587,121.7 +/- 97.8,Adult (>18 years old),Both,Normal
588,106.5 +/- 91.2,Adult (>18 years old),Both,Normal
589,11.84(29.81),Adult (>18 years old),Both,Normal
590,23.90-219.5,Adult (>18 years old),Both,Normal
591,32.8 +/- 13.3,Adult (>18 years old),Both,Normal
592,<440,Newborn (0-30 days old),,Normal
593,<110,Infant (0-1 year old),,Normal
594,210.0 +/- 92.0,Children (1-13 years old),Both,Normal
595,88.3 +/- 34.7,Adult (>18 years old),Both,Normal
596,39.0 +/- 12.0,Adult (>18 years old),Male,Normal
597,17 (0-39),Children (1 - 13 years old),Not Specified,Normal
598,1.0 (0.0-5.0),Adolescent (13-18 years old),Both,Normal
599,0.00017 +/- 0.000071,Adult (>18 years old),Female,Normal
600,0.00020 (0.00011-0.00030),Adult (>18 years old),Male,Normal
601,0.00012 (0.0-0.00024),Adult (>18 years old),Female,Normal
602,15-80,Newborn (0-30 days old),Both,Normal
603,10-80,Infant (1 - 3 months old),Both,Normal
604,8-80,Children (3 months - 6 years old),Both,Normal
605,8-80,Children (6 - 18 years old),Both,Normal
606,2-118,Infant (0-1 year old),Not Specified,Normal
607,114.1 (75.2-203.1),Infant (0-1 year old),Not Specified,Normal
608,90 +/- 65,Infant (0-1 year old),Both,Normal
609,33.5 +/- 3.20 ,Adult (>18 years old),Both,Normal
610,65.19 +/- 48.71,Adult (>18 years old),Both,Normal
611,20.00-110.0,Adult (>18 years old),Both,Normal
612,46.2 +/- 21.4,Adult (>18 years old),Both,Normal
613,,Adult (>18 years old),Both,Normal
614,24.0 (9.0-39.0),Adult (>18 years old),Both,Normal
615,176.9(140.6-218.8),Children (1-13 uears old),Both,Normal
616,145.0 +/- 6.0,Adult (>18 years old),Male,Normal
617,97.4 +/- 13.2,Adult (>18 years old),Both,Normal
618,65.0 +/- 35.0,Newborn (0-30 days old),Not Specified,Normal
619,35.0 +/- 14.0,Children (1-13 years old),Male,Normal
620,37.0 +/- 14.0,Children (1-13 years old),Female,Normal
621,60.0 +/- 16.0,Adult (>18 years old),Male,Normal
622,46.0 +/- 13.0,Adult (>18 years old),Female,Normal
623,33.0 +/- 12.0,Adult (>18 years old),Male,Normal
624,52.3 (26.2-91.7),Newborn (0-30 days old),Both,Normal
625,1.6 (0.0-11.5),Adult (>18 years old),Both,Normal
626,0.000092,Infant (15 days - <1 year old),Both,Normal
627,0.000037,Children (1 - <9 years old),Female,Normal
628,0.000176,Children (9 - <11 years old),Female,Normal
629,0.000345,Adolescent (11 - <12 years old),Female,Normal
630,0.00004-0.000631,Adolescent (12 - <14 years old),Female,Normal
631,0.000936,Adolescent (14 - <19 years old,Female,Normal
632,0.000048,Children (1 - <11 years old),Male,Normal
633,0.000095,Adolescent (11 - <13 years old),Male,Normal
634,0.000103,Adolescent (13 - <15 years old),Male,Normal
635,0.00014,Adolescent (15 - <19 years old),Male,Normal
636,0.00015 +/- 0.000075,Adult (>18 years old),Female,Normal
637,0.000110 - 0.00130,Adult (>18 years old),Female,Normal
638,0 - 0.000220,Adult (>18 years old),Male,Normal
639,0.00009 (0.0-0.00018),Adult (>18 years old),Male,Normal
640,0.00009 (0.0-0.00018),Adult (>18 years old),Female,Normal
641,0.000099-0.000749,Adult (>18 years old),Not Specified,Normal
642,<0.000206,Not Specified,Male,Normal
643,0.0000477+/- 0.00008,Children (1-13 years old),Both,Normal
644,0.000184-0.00177,Adult (>18 years old),Female,Normal
645,0.65 +/- 0.19,Adult (>18 years old),Male,Normal
646,1.0 +/- 0.31,Adult (>18 years old),Female,Normal
647,0.006 +/- 0.002,Adult (>18 years old),Both,Normal
648,0.000100  -0.00700,Adult (>18 years old),Female,Normal
649,12.0 (0.0-21.0),Adult (>18 years old),Both,Normal
650,3.2 +/- 0.9,Adult (>18 years old),Both,Normal
651,,Adult (>18 years old),Both,Normal
652,2.300 +/- 1.100,Adult (>18 years old),Not Specified,Normal
653,11.02 +/- 3.67,Adult (>18 years old),Both,Normal
654,1.7  +/- 0.4,Adult (>18 years old),Male,normal
655,2.2 +/- 1.1,Adult (>18 years old),Male,Normal
656,11.0294 +/- 3.676,Adult (>18 years old),Both,Normal
657,5.6 (3.1-7.1),Adult (>18 years old),Female,Normal
658,1.0 +/-0.9,Adult (>18 years old),Male,Normal
659,4.87 +/- 0.36,Adult (>18 years old),Both,Normal
660,1.0 +/- 0.9,Adult (>18 years old),Male,Normal
661,5.6 (3.1-7.1),Adult (>18 years old),Female,Normal
662,0.38 +/- 0.18,Adult (>18 years old),Male,Normal
663,34.2 +/- 10.3,Adult (>18 years old),Both,Normal
664,54.5 +/- 9.7,Adult (>18 years old),Both,Normal
665,143 +/- 35.3,Adult (>18 years old),Both,Normal
666,32-124,Newborn (0-30 days old),Both,Normal
667,29-135,Infant (1 - 3 months old),Both,Normal
668,24-105,Children (3 months - 6 years old),Both,Normal
669,43-88,Children (6 - 18 years old),Both,Normal
670,59.0 (47.0-71.0),Adult (>18 years old),Both,Normal
671,34-94,Newborn (0-30 days old),Not Specified,Normal
672,81.9 (69.8-94),Newborn (0-30 days old),,Normal
673,120.0 +/- 100.0,Newborn (0-30 days old),Not Specified,Normal
674,68.0 +/- 10.0,Children (1-13 years old),Male,Normal
675,72.0 +/- 15.0,Adult (>18 years old),Male,Normal
676,61.0 +/- 13.0,Adult (>18 years old),Female,Normal
677,55 - 147,Newborn (0-30 days old),Both,Normal
678,55-147,Infant (0-1 year old),Not Specified,Normal
679,46 +/- 8,Children (1 - 13 years old),Both,Normal
680,65.1 +/- 2.55 ,Adult (>18 years old),Both,Normal
681,84.2 (67.5-109),Infant (0-1 year old),,Normal
682,,Adult (>18 years old),Both,Normal
683,35.0-80.0,Adult (>18 years old),Both,Normal
684,61 +/- 13,Adult (>18 years old),Female,Normal
685,72 +/- 15,Adult (>18 years old),Male,Normal
686,62.9 +/- 12.2,Adult (>18 years old),Both,Normal
687,60.8(48.3-71.9),Children (1-13 uears old),Both,Normal
688,142.0 +/- 4.0,Adult (>18 years old),Both,Normal
689,78.1 +/- 20.5,Adult (>18 years old),Both,Normal
690,48 (50-52),Adult (>18 years old),Both,Normal
691,85.2 +/- 23,Adult (>18 years old),Both,Normal
692,57.0 (48.0-66.0),Adult (>18 years old),Both,Normal
693,16-71,Newborn (0-30 days old),Both,Normal
694,24-80,Infant (1 - 3 months old),Both,Normal
695,34-101,Children (3 months - 6 years old),Both,Normal
696,39-76,Children (6 - 18 years old),Both,Normal
697,80.0 +/- 20.0,Newborn (0-30 days old),Not Specified,Normal
698,60.0 +/- 8.0,Children (1-13 years old),Male,Normal
699,65.0 +/- 9.0,Adult (>18 years old),Male,Normal
700,56.0 +/- 8.0,Adult (>18 years old),Female,Normal
701,<70,Newborn (0-30 days old),Not Specified,Normal
702,108 (96.80-124),Newborn (0-30 days old),,Normal
703,93.6 (75.8-114),Infant (0-1 year old),,Normal
704,70(10.98),Adult (>18 years old),Both,Normal
705,60 +/- 7,Adult (>18 years old),Male,Normal
706,52 +/- 5,Adult (>18 years old),Female,Normal
707,47 +/- 5,Children (1 - 13 years old),Both,Normal
708,40.0-75.0,Adult (>18 years old),Both,Normal
709,56 +/- 8,Adult (>18 years old),Female,Normal
710,60.0 +/- 7.75,Adult (>18 years old),Both,Normal
711,,Adult (>18 years old),Both,Normal
712,65 +/- 9,Adult (>18 years old),Male,Normal
713,81.9(70.6-94.3),Children (1-13 uears old),Both,Normal
714,<120,Newborn (0-30 days old),Not Specified,Normal
715,166.0 +/- 3.0,Adult (>18 years old),Both,Normal
716,97-455,Newborn (0-30 days old),Both,Normal
717,134-416,Infant (1 - 3 months old),Both,Normal
718,148-475,Children (3 months - 6 years old),Both,Normal
719,193-545,Children (6 - 18 years old),Both,Normal
720,,Adult (>18 years old),Both,Normal
721,134-502,Infant (0-1 year old),Not Specified,Normal
722,333.0 (259.0-407.0),Adult (>18 years old),Both,Normal
723,<414,Newborn (0-30 days old),Not Specified,Normal
724,174-375,Children (1-13 years old),Not Specified,Normal
725,240-600,Children (1-13 years old),Not Specified,Normal
726,320 +/- 87 ,Adult (>18 years old),Male,Normal
727,140 - 460,Children (1 - 13 years old),Not Specified,Normal
728,254 +/- 78,Children (1 - 13 years old),Female,Normal
729,255 +/- 78,Infant (0-1 year old),Both,Normal
730,375.0 +/- 50.0,Newborn (0-30 days old),Not Specified,Normal
731,369.0 +/- 88.0,Children (1-13 years old),Female,Normal
732,444.61(116.67),Adult (>18 years old),Both,Normal
733,448.89(115.71),Adult (>18 years old),Both,Normal
734,200.0-580.0,Adult (>18 years old),Both,Normal
735,319.4 +/- 71.7,Adult (>18 years old),Both,Normal
736,465.7(395.5-592.1),Children (1-13 uears old),Both,Normal
737,<500,Infant (0-1 year old),Not Specified,Normal
738,427.2 +/- 84.4,Adult (>18 years old),Both,Normal
739,585.0 +/- 22.0,Adult (>18 years old),Both,Normal
740,198.3 +/- 64.8,Adult (>18 years old),Both,Normal
741,168.0 (108.0-228.0),Adult (>18 years old),Both,Normal
742,177.5 +/- 38.6,Adult (>18 years old),Both,Normal
743,111-329,Newborn (0-30 days old),Both,Normal
744,77-324,Infant (1 - 3 months old),Both,Normal
745,40-332,Children (3 months - 6 years old),Both,Normal
746,58-324,Children (6 - 18 years old),Both,Normal
747,198.0 +/- 63.0,Children (1-13 years old),Male,Normal
748,239.0 +/- 70.0,Adult (>18 years old),Male,Normal
749,168.0 +/- 49.0,Adult (>18 years old),Female,Normal
750,61-285,Infant (0-1 year old),Not Specified,Normal
751,230.0 +/- 75.0,Newborn (0-30 days old),Not Specified,Normal
752,211 (184-247),Newborn (0-30 days old),,Normal
753,180 +/- 47,Children (1-13 years old),Not Specified,Normal
754,51-271,Children (1-13 years old),Not Specified,Normal
755,93-233,Children (1-13 years old),Not Specified,Normal
756,222 (159-278),Infant (0-1 year old),Not Specified,Normal
757,193  +/- 52,Infant (0-1 year old),Both,Normal
758,256 (207-310),Infant (0-1 year old),,Normal
759,178 +/- 33,Children (1 - 13 years old),Both,Normal
760,105.0-360.0,Adult (>18 years old),Both,Normal
761,188.3 +/- 55.0,Adult (>18 years old),Both,Normal
762,179.7(156.2-221.1),Children (1-13 uears old),Both,Normal
763,258.91 +/- 91,Children (1-13 years old),Both,Normal
764,1.0 (0.37-4.0),Adult (>18 years old),Both,Normal
765,127.7 +/- 41,Adult (>18 years old),Both,Normal
766,43-150,Newborn (0-30 days old),Both,Normal
767,47-150,Infant (1 - 3 months old),Both,Normal
768,40-300,Children (3 months - 6 years old),Both,Normal
769,74-250,Children (6 - 18 years old),Both,Normal
770,102.3 +/- 24.6,Adult (>18 years old),Both,Normal
771,140.0 (107.0-173.0),Adult (>18 years old),Both,Normal
772,215.0 +/- 60.0,Newborn (0-30 days old),Not Specified,Normal
773,140.0 +/- 28.0,Children (1-13 years old),Male,Normal
774,146.0 +/- 22.0,Adult (>18 years old),Male,Normal
775,154.0 +/- 40.0,Adult (>18 years old),Female,Normal
776,<10,Newborn (0-30 days old),Not Specified,Normal
777,70-220,Newborn (0-30 days old),Not Specified,Normal
778,90-329,Infant (0-1 year old),Not Specified,Normal
779,126 +/- 7.44 ,Adult (>18 years old),Both,Normal
780,80.00-220.0,Adult (>18 years old),Both,Normal
781,127.9 +/- 28.2,Adult (>18 years old),Both,Normal
782,89.7(72.1-105.4),Children (1-13 uears old),Both,Normal
783,260.0 +/- 10.0,Adult (>18 years old),Both,Normal
784,36-87,Newborn (0-30 days old),Both,Normal
785,33-77,Infant (1 - 3 months old),Both,Normal
786,23-79,Children (3 months - 6 years old),Both,Normal
787,25-75,Children (6 - 18 years old),Both,Normal
788,32.9 +/- 7.6,Adult (>18 years old),Both,Normal
789,41.0 (31.0-51.0),Adult (>18 years old),Both,Normal
790,29-132,Infant (0-1 year old),Not Specified,Normal
791,61.7(12.09),Adult (>18 years old),Both,Normal
792,48.0 +/- 7.0,Children (1-13 years old),Male,Normal
793,46.0 +/- 7.0,Children (1-13 years old),Female,Normal
794,29.0-90.0,Adult (>18 years old),Both,Normal
795,49.0 +/- 7.0,Adult (>18 years old),Male,Normal
796,47.0 +/- 9.0,Adult (>18 years old),Female,Normal
797,48.4 +/- 9.29,Adult (>18 years old),Both,Normal
798,54.4(47.3-68.3),Children (1-13 uears old),Both,Normal
799,35.0 (16.4-57.2),Adult (>18 years old),Both,Normal
800,82.4 +/- 7.3,Adult (>18 years old),Both,Normal
801,39.0 +/- 7.0,Adult (>18 years old),Both,Normal
802,64.0 +/- 12.0,Adult (>18 years old),Male,Normal
803,40.0 +/- 20.0,Newborn (0-30 days old),Not Specified,Normal
804,69.0 +/- 13.0,Children (1-13 years old),Male,Normal
805,64.0 +/- 13.0,Children (1-13 years old),Female,Normal
806,84.0 +/- 18.0,Adult (>18 years old),Male,Normal
807,44.0 +/- 6.0,Children (1-13 years old),Not Specified,Normal
808,81.0 +/- 18.0,Adult (>18 years old),Male,Normal
809,56.0 +/- 12.0,Adult (>18 years old),Female,Normal
810,28-84,Children (1-13 years old),Both,Normal
811,20-90,Newborn (0-30 days old),Both,Normal
812,25-87,Infant (1 - 3 months old),Both,Normal
813,25-100,Children (3 months - 6 years old),Both,Normal
814,35-100,Children (6 - 18 years old),Both,Normal
815,37-39,Infant (0-1 year old),Not Specified,Normal
816,83.1 (72.1-96.5),Newborn (0-30 days old),,Normal
817,38-94,Adolescent (13-18 years old),Not Specified,Normal
818,22-107,Children (1-13 years old),Not Specified,Normal
819,68 +/- 11 ,Adult (>18 years old),Male,Normal
820,22-107,Children (1 - 18 years old),Not Specified,Normal
821,30-108,Adult (>18 years old),Not Specified,Normal
822,53 +/- 7,Adult (>18 years old),Female,Normal
823,31-83,Children (1-13 years old),Not Specified,Normal
824,92.1 (71.4-116),Infant (0-1 year old),,Normal
825,39 +/- 8,Newborn (0-30 days old),Not Specified,Normal
826,76.5 +/- 18.0,Children (1 - 13 years old),Not Specified,Normal
827,64 +/- 13,Adult (>18 years old),Female,Normal
828,40.00-100.0,Adult (>18 years old),Both,Normal
829,77.5 +/- 15.4,Adult (>18 years old),Both,Normal
830,84 +/- 18,Adult (>18 years old),Male,Normal
831,51.1(44.6-60.2),Children (1-13 uears old),Both,Normal
832,,Adult (>18 years old),Both,Normal
833,62.0 (48.0-76.0),Adult (>18 years old),Both,Normal
834,60.7 +/- 18.6,Adult (>18 years old),Both,Normal
835,63.0 +/- 41.0,Adult (>18 years old),Both,Normal
836,,,,Normal
837,75.0 +/- 20.0,Newborn (0-30 days old),Not Specified,Normal
838,86.0 +/- 10.0,Children (1-13 years old),Male,Normal
839,89.0 +/- 11.0,Adult (>18 years old),Male,Normal
840,83.0 +/- 14.0,Adult (>18 years old),Female,Normal
841,143.1 +/- 27.3,Adult (>18 years old),Both,Normal
842,32-107,Newborn (0-30 days old),Both,Normal
843,20-83,Infant (1 - 3 months old),Both,Normal
