,Value(uM),Patient Age,Patient Sex,Patient Information,Comment,File
201,0.00137 +/- 0.000800,Newborn (0-30 days old),Not Specified,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",In children of 4-42 days,hmdb_metabolites-37
202,0.000810 +/- 0.00140,Children (1-13 years old),Not Specified,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",In children of 7-20 months old,hmdb_metabolites-37
203,0.000900-0.00420,Adult (>18 years old),Male,X-linked ichthyosis,In children of 7-20 months old,hmdb_metabolites-37
204,0.0017,Adult (>18 years old),Male,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",n=1,hmdb_metabolites-37
205,0.0041,Adolescent (13-18 years old),Male,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",n=1,hmdb_metabolites-37
206,0.00175-0.0770,Newborn (0-30 days old),Both,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",n=3,hmdb_metabolites-37
207,0.000270-0.0480,Children (1-13 years old),Both,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",n=4,hmdb_metabolites-37
208,0.000570 +/- 0.000200,Children (1-13 years old),Both,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",n=4,hmdb_metabolites-37
209,0.00103 +/- 0.00100,Infant (0-1 year old),Not Specified,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",n=4,hmdb_metabolites-37
210,0.00380 +/- 0.00100,Adult (>18 years old),Male,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",n=4,hmdb_metabolites-37
211,0.00430 +/- 0.00180,Adult (>18 years old),Female,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",n=4,hmdb_metabolites-37
212,,Adult (>18 years old),Male,Schizophrenia,Detected by GC-MS,hmdb_metabolites-37
213,<0.00003,Adult (>18 years old),Female,Lipoid Adrenal Hyperplasia,Detected by GC-MS,hmdb_metabolites-37
214,<0.00003,Adolescent (13-18 years old),Female,Lipoid Adrenal Hyperplasia,Detected by GC-MS,hmdb_metabolites-37
215,0.00279-0.00454,Adult (>18 years old),Female,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",n=1,hmdb_metabolites-37
216,0.12,Newborn (0-30 days old),Female,11-beta-hydroxylase deficiency,n=1,hmdb_metabolites-37
217,0.00360-0.0227,Children (1-13 years old),Both,11-beta-hydroxylase deficiency,n=1,hmdb_metabolites-37
218,0.0090 +/- 0.0046,Adult (>18 years old),Female,Polycystic ovary syndrome (PCOS),"Measured in plasma before pioglitazone treatment
",hmdb_metabolites-37
219,0.0090 +/- 0.0065,Adult (>18 years old),Both,Cushing's syndrome,"Measured in plasma before pioglitazone treatment
",hmdb_metabolites-37
220,0.0031 +/- 0.0030,Adult (>18 years old),Both,Cushing's syndrome,"Measured in plasma before pioglitazone treatment
",hmdb_metabolites-37
221,0.000873,Newborn (0-30 days old),Female,"Adrenal insufficiency, congenital, with 46,XY sex reversal, partial or complete",n=1,hmdb_metabolites-37
222,14.6 +/- 2.5,Adult (>18 years old),Both,Growth hormone deficiency,"Severe radiation-induced GH deficiency, postfasting, measured in serum
",hmdb_metabolites-38
223,650,Adolescent (13-18 years old),Male,Crigler-Najjar syndrome Type I,"Severe radiation-induced GH deficiency, postfasting, measured in serum
",hmdb_metabolites-38
224,25.656-78.678,Adult (>18 years old),Both,"Anemia, congenital dyserythropoietic, type II","n=10. This is the unconjugated bilirubin. Level is higher than normal, but no p value",hmdb_metabolites-38
225,28.7-170,Children (1-13 years old),Both,Infantile Liver Failure Syndrome 2,Direct bilirubin,hmdb_metabolites-38
226,22-41,Newborn (0-30 days old),Both,"Citrullinemia type II, neonatal-onset",Direct bilirubin. Higher than control,hmdb_metabolites-38
227,46.9-233,Children (1-13 years old),Both,Infantile Liver Failure Syndrome 2,Total bilirubin,hmdb_metabolites-38
228,41-101,Newborn (0-30 days old),Both,"Citrullinemia type II, neonatal-onset",Total bilirubin,hmdb_metabolites-38
229,73.1-85.0,Infant (0-1 year old),Female,Infantile Liver Failure Syndrome 2,Total bilirubin,hmdb_metabolites-38
230,41(6-381),Children (1-13 years old),Both,"Cholestasis, progressive familial intrahepatic, 1",Total bilirubin,hmdb_metabolites-38
231,59.2,Infant (0-1 year old),Female,Wolcott-Rallison syndrome,Total bilirubin,hmdb_metabolites-38
232,106,Infant (0-1 year old),Female,"Bile Acid Synthesis Defect, Congenital, 1",Total bilirubin,hmdb_metabolites-38
233,24.5,Adult (>18 years old),Female,Lecithin:cholesterol Acyltransferase Deficiency,Total bilirubin,hmdb_metabolites-38
234,8.80 +/- 1.22,Adult (>18 years old),Both,Growth hormone deficiency,"Severe radiation-induced GH deficiency, measured in serum
",hmdb_metabolites-38
235,573.0 (291.0-855.0),Children (1-13 years old),Both,Crigler-Najjar syndrome Type I,"Severe radiation-induced GH deficiency, measured in serum
",hmdb_metabolites-38
236,29.59,Newborn (0-30 days old),Male,Lathosterolosis,conjugated bilirubin,hmdb_metabolites-38
237,380.733 +/- 142.989,Newborn (0-30 days old),Both,Glucose-6-phosphate dehydrogenase deficiency,"Indirect Bilirubin. Siginicantly higher than control, p=0.001",hmdb_metabolites-38
238,6.842-20.525,Adult (>18 years old),Male,Primary Hypomagnesemia,n=1,hmdb_metabolites-38
239,18.814-518.248,Adult (>18 years old),Male,"Cholestasis, progressive familial intrahepatic, 1",Total bilirubin,hmdb_metabolites-38
240,42.247,Newborn (0-30 days old),Male,Lathosterolosis,total bilirubin,hmdb_metabolites-38
241,42.760-141.962,Children (1-13 years old),Female,"Cholestasis, progressive familial intrahepatic, 1",Total bilirubin,hmdb_metabolites-38
242,78.678,Newborn (0-30 days old),Male,Donohue Syndrome,Total bilirubin,hmdb_metabolites-38
243,111.175,Newborn (0-30 days old),Male,Donohue Syndrome,Total bilirubin,hmdb_metabolites-38
244,4.0 (0.9-6.2),Adult (>18 years old),Both,Dihydropyrimidine dehydrogenase (DPD) deficiency,None,hmdb_metabolites-40
245,2.7 +/- 1.3,Adult (>18 years old),Both,Dihydropyrimidine dehydrogenase (DPD) deficiency,None,hmdb_metabolites-40
246,6,Children (1-13 years old),Male,Methylmalonate semialdehyde dehydrogenase deficiency,None,hmdb_metabolites-40
247,23.0,Children (1-13 years old),Both,GABA transaminase deficiency,None,hmdb_metabolites-40
248,5.00 (0.00-10.00),Adult (>18 years old),Both,Hyper beta-alaninemia,None,hmdb_metabolites-40
249,107.5 (15.00-200.00),Children (1-13 years old),Both,Hyper beta-alaninemia,None,hmdb_metabolites-40
250,0.0077 +/- 0.0003,Adult (>18 years old),Male,Sildenafil-induced headache,None,hmdb_metabolites-41
251,27.3 +/- 14.4,Adult (>18 years old),Both,Heart Transplant,None,hmdb_metabolites-42
252,19.56 +/- 10.63 ,Adult (>18 years old),Female,Pregnancy with fetuses with trisomy 18,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-42
253,16.15 +/- 9.18 ,Adult (>18 years old),Female,Pregnancy,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-42
254,14.5 (5.1) ,Adult (>18 years old),Female,Early preeclampsia,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-42
255,18.8 (9.7) ,Adult (>18 years old),Female,Pregnancy,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-42
256,,Adult (>18 years old),Both,Schizophrenia,Detected by 1H NMR,hmdb_metabolites-42
257,3030.0 +/- 20.0,Adult (>18 years old),Both,Diabetes,"With ketoacidosis
",hmdb_metabolites-42
258,14.33 (10.92),Adult (>18 years old),Female,Pregnancy with fetus having congenital heart defect,"With ketoacidosis
",hmdb_metabolites-42
259,12.64 (8.21) ,Adult (>18 years old),Female,Pregnancy,"With ketoacidosis
",hmdb_metabolites-42
260,18.9 (9.8) ,Adult (>18 years old),Female,Late-onset preeclampsia,"With ketoacidosis
",hmdb_metabolites-42
261,16.5 (9.6) ,Adult (>18 years old),Female,Pregnancy,"With ketoacidosis
",hmdb_metabolites-42
262,26.27(34.57),Adult (>18 years old),Both,Heart failure with reduced ejection fraction,"With ketoacidosis
",hmdb_metabolites-42
263,100,Newborn (0-30 days old),Male,2-Ketoglutarate dehydrogenase complex deficiency,"With ketoacidosis
",hmdb_metabolites-42
264,50-1280,Children (1-13 years old),Male,2-Ketoglutarate dehydrogenase complex deficiency,"With ketoacidosis
",hmdb_metabolites-42
265,910,Children (1-13 years old),Male,Succinyl CoA: 3-ketoacid CoA transferase deficiency,After 12 hours fasting. Higher than control,hmdb_metabolites-42
266,1540,Children (1-13 years old),Male,Succinyl CoA: 3-ketoacid CoA transferase deficiency,After 9 hours fasting. Higher than control,hmdb_metabolites-42
267,360,Infant (0-1 year old),Male,Pyruvate dehydrogenase phosphatase deficiency,After 9 hours fasting. Higher than control,hmdb_metabolites-42
268,23.5 (24.3) ,Adult (>18 years old),Female,Down syndrome pregnancy,After 9 hours fasting. Higher than control,hmdb_metabolites-42
269,13.9 (7.3) ,Adult (>18 years old),Female,Pregnancy,After 9 hours fasting. Higher than control,hmdb_metabolites-42
270,<30,Children (1-13 years old),Male,3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency,During fasting.,hmdb_metabolites-42
271,22000-50000,Not Specified,Not Specified,3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency,None,hmdb_metabolites-44
272,41.7 +/- 23.9,Adult (>18 years old),Both,Heart Transplant,None,hmdb_metabolites-44
273,17,Adult (>18 years old),Male,3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency,Total carnitine,hmdb_metabolites-44
274,47-68,Infant (0-1 year old),Female,3-Hydroxyacyl-CoA dehydrogenase deficiency (SCHAD),n=1,hmdb_metabolites-44
275,20.6-33.8,Adult (>18 years old),Female,Myopathic carnitine deficiency,Free carnitine. Not significanty different from control,hmdb_metabolites-44
276,0-2.2,Infant (0-1 year old),Female,"Long-chain Fatty Acids, Defect in Transport of",Total plasma carnitine,hmdb_metabolites-44
277,12,Newborn (0-30 days old),Male,Carnitine palmitoyltransferase deficiency I,Free carnitine,hmdb_metabolites-44
278,0,Infant (0-1 year old),Female,Carnitine transporter defect; primary systemic carnitine deficiency,Free carnitine,hmdb_metabolites-44
279,15,Newborn (0-30 days old),Male,Carnitine palmitoyltransferase deficiency I,Total carnitine,hmdb_metabolites-44
280,37-48,Infant (0-1 year old),Not Specified,Oculocerebrorenal Syndrome of Lowe,Total carnitine,hmdb_metabolites-44
281,26.04 +/- 10.5 ,Adult (>18 years old),Female,Pregnancy with fetuses with trisomy 18,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-44
282,23-72,Children (1-13 years old),Both,Methylmalonic aciduria mitochondrial encephelopathy Leigh-like,Total carnitine,hmdb_metabolites-44
283,15-34,Children (1-13 years old),Not Specified,Oculocerebrorenal Syndrome of Lowe,Total carnitine,hmdb_metabolites-44
284,24.3 +/- 11.7 ,Adult (>18 years old),Female,Pregnancy,Total carnitine,hmdb_metabolites-44
285,9-33,Adolescent (13-18 years old),Not Specified,Oculocerebrorenal Syndrome of Lowe,Total carnitine,hmdb_metabolites-44
286,19-31,Adult (>18 years old),Not Specified,Oculocerebrorenal Syndrome of Lowe,Total carnitine,hmdb_metabolites-44
287,30.2 (6.3) ,Adult (>18 years old),Female,Early preeclampsia,Total carnitine,hmdb_metabolites-44
288,10-21,Infant (0-1 year old),,Mitochondrial trifunctional protein deficiency,Total carnitine,hmdb_metabolites-44
289,31.8 (14.1) ,Adult (>18 years old),Female,Pregnancy,Total carnitine,hmdb_metabolites-44
290,0.7,Infant (0-1 year old),Female,Carnitine transporter defect; primary systemic carnitine deficiency,Total carnitine,hmdb_metabolites-44
291,4.2,Children (1-13 years old),Male,Carnitine transporter defect; primary systemic carnitine deficiency,Total carnitine,hmdb_metabolites-44
292,,Adult (>18 years old),Both,Colorectal cancer,Total carnitine,hmdb_metabolites-44
293,43-51,Infant (0-1 year old),Male,3-Hydroxyacyl-CoA dehydrogenase deficiency (SCHAD),Free carnitine.,hmdb_metabolites-44
294,16.798 (14.323) ,Adult (>18 years old),Female,Pregnancy with fetus having congenital heart defect,Free carnitine.,hmdb_metabolites-44
295,15.08 +/- 5.71,Children (1-13 years old),Both,Acetaminophen overdose,n = 62,hmdb_metabolites-44
296,21.08 (4.88) ,Adult (>18 years old),Female,Pregnancy with fetus having congenital heart defect,n = 62,hmdb_metabolites-44
297,19.98 (4.82) ,Adult (>18 years old),Female,Pregnancy,n = 62,hmdb_metabolites-44
298,46.8 (24.8) ,Adult (>18 years old),Female,Late-onset preeclampsia,n = 62,hmdb_metabolites-44
299,18-22,Infant (0-1 year old),Male,"2,4-dienoyl-CoA reductase deficiency",n = 62,hmdb_metabolites-44
300,27.8 (20.0) ,Adult (>18 years old),Female,Pregnancy,n = 62,hmdb_metabolites-44
301,50.65(14.14),Adult (>18 years old),Both,Heart failure with preserved ejection fraction,n = 62,hmdb_metabolites-44
302,47.22(15.19),Adult (>18 years old),Both,Heart failure with preserved ejection fraction,n = 62,hmdb_metabolites-44
303,54.38(13.17),Adult (>18 years old),Both,Heart failure with reduced ejection fraction,n = 62,hmdb_metabolites-44
304,50.38(8.11),Adult (>18 years old),Both,Heart failure with reduced ejection fraction,n = 62,hmdb_metabolites-44
305,20.540 +/- 1.850,Children (1-13 years old),Not Specified,3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency,In children of 0.25–3.3 years old. Free carnitine.,hmdb_metabolites-44
306,23-50,Children (1-13 years old),Both,L-2-hydroxyglutaric aciduria,n=3,hmdb_metabolites-44
307,34.0 +/- 8.8,Children (1-13 years old),Both,Obesity,with substantial overweight reduction,hmdb_metabolites-44
308,36.2 +/- 8.1,Children (1-13 years old),Both,Obesity,without substantial overweight reduction,hmdb_metabolites-44
309,25.5 (9.7) ,Adult (>18 years old),Female,Down syndrome pregnancy,without substantial overweight reduction,hmdb_metabolites-44
310,19.5 (8.3) ,Adult (>18 years old),Female,Pregnancy,without substantial overweight reduction,hmdb_metabolites-44
311,1.036,Children (1-13 years old),Male,3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency,During fasting.,hmdb_metabolites-45
312,0.235,Newborn (0-30 days old),Female,"Adrenal insufficiency, congenital, with 46,XY sex reversal, partial or complete",n=1,hmdb_metabolites-45
313,0.0124-0.455,Newborn (0-30 days old),Male,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",n=1,hmdb_metabolites-45
314,<0.0276,Newborn (0-30 days old),Female,"Adrenal insufficiency, congenital, with 46,XY sex reversal, partial or complete",n=1,hmdb_metabolites-45
315,0.34 (0.028-0.66),Adult (>18 years old),Both,"ACTH deficiency, isolated",n=1,hmdb_metabolites-45
316,0.001 (0.0-0.002),Children (1-13 years old),Both,Adrenal Hypoplasia,n=1,hmdb_metabolites-45
317,0.326 +/- 0.090,Adult (>18 years old),Both,Schizophrenia,n=1,hmdb_metabolites-45
318,10.55 +/- 1.93,Adult (>18 years old),Both,Schizophrenia,n=1,hmdb_metabolites-45
319,0.381,Infant (0-1 year old),Female,3-Hydroxyacyl-CoA dehydrogenase deficiency (SCHAD),n=1,hmdb_metabolites-45
320,0.135,Children (1-13 years old),Female,Apparent mineralocorticoid excess,"Morning plasma cortisol. n=1. Lower than normal, but no p value",hmdb_metabolites-45
321,0.300 +/- 0.200,Newborn (0-30 days old),Not Specified,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",In children of 4-42 days,hmdb_metabolites-45
322,0.684-0.991,Adult (>18 years old),Male,Glucocorticoid resistance,Concentration at 8 am,hmdb_metabolites-45
323,0.400 +/- 0.200,Children (1-13 years old),Not Specified,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",In children of 7-20 months old,hmdb_metabolites-45
324,0.07,Adult (>18 years old),Male,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",n=1,hmdb_metabolites-45
325,0.12,Adolescent (13-18 years old),Male,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",n=1,hmdb_metabolites-45
326,0.290-0.390,Newborn (0-30 days old),Both,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",n=2,hmdb_metabolites-45
327,0.280-0.480,Children (1-13 years old),Both,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",n=3,hmdb_metabolites-45
328,0.00615,Newborn (0-30 days old),Male,Glucocorticoid deficiency,n=3,hmdb_metabolites-45
329,0.353,Newborn (0-30 days old),Male,3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency,n=3,hmdb_metabolites-45
330,0.360 +/- 0.100,Adult (>18 years old),Male,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",n=3,hmdb_metabolites-45
331,0.230 +/- 0.120,Infant (0-1 year old),Not Specified,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",n=3,hmdb_metabolites-45
332,0.300 +/- 0.120,Children (1-13 years old),Both,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",n=3,hmdb_metabolites-45
333,0.360 +/- 0.120,Adult (>18 years old),Female,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",n=3,hmdb_metabolites-45
334,<0.138,Adult (>18 years old),Female,Proprotein Convertase 1/3 Deficiency,n=3,hmdb_metabolites-45
335,,Adult (>18 years old),Male,Schizophrenia,Detected by GC-MS,hmdb_metabolites-45
336,<0.0280,Infant (0-1 year old),Female,Lipoid Adrenal Hyperplasia,Detected by GC-MS,hmdb_metabolites-45
337,0.152,Adult (>18 years old),Female,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",n=1,hmdb_metabolites-45
338,0.556,Newborn (0-30 days old),Female,"Bartter Syndrome, Type 2, Antenatal",n=1,hmdb_metabolites-45
339,0.434-0.654,Infant (0-1 year old),Both,Antley-Bixler syndrome with genital anomalies and disordered steroidogenesis,"ACTH stimulated level. n=4. Lower than normal, but no p value ",hmdb_metabolites-45
340,0.558,Children (1-13 years old),Female,Aromatase deficiency,n=1,hmdb_metabolites-45
341,0.27 +/- 0.06,Adult (>18 years old),Both,Major affective disorder,n=1,hmdb_metabolites-45
342,0.0806,Adolescent (13-18 years old),Female,"Adrenal hyperplasia, congenital, due to 17-alpha-hydroxylase deficiency","n=1. Significantly lower than normal, but no p value",hmdb_metabolites-45
343,0.41 +/- 0.2,Adult (>18 years old),Both,Tic disorder,"n=1. Significantly lower than normal, but no p value",hmdb_metabolites-45
