,Value(uM),Patient Age,Patient Sex,Patient Information,Comment
239,18.814-518.248,Adult (>18 years old),Male,"Cholestasis, progressive familial intrahepatic, 1",Total bilirubin
240,42.247,Newborn (0-30 days old),Male,Lathosterolosis,total bilirubin
241,42.760-141.962,Children (1-13 years old),Female,"Cholestasis, progressive familial intrahepatic, 1",Total bilirubin
242,78.678,Newborn (0-30 days old),Male,Donohue Syndrome,Total bilirubin
243,111.175,Newborn (0-30 days old),Male,Donohue Syndrome,Total bilirubin
244,4.0 (0.9-6.2),Adult (>18 years old),Both,Dihydropyrimidine dehydrogenase (DPD) deficiency,None
245,2.7 +/- 1.3,Adult (>18 years old),Both,Dihydropyrimidine dehydrogenase (DPD) deficiency,None
246,6,Children (1-13 years old),Male,Methylmalonate semialdehyde dehydrogenase deficiency,None
247,23.0,Children (1-13 years old),Both,GABA transaminase deficiency,None
248,5.00 (0.00-10.00),Adult (>18 years old),Both,Hyper beta-alaninemia,None
249,107.5 (15.00-200.00),Children (1-13 years old),Both,Hyper beta-alaninemia,None
250,0.0077 +/- 0.0003,Adult (>18 years old),Male,Sildenafil-induced headache,None
251,27.3 +/- 14.4,Adult (>18 years old),Both,Heart Transplant,None
252,19.56 +/- 10.63 ,Adult (>18 years old),Female,Pregnancy with fetuses with trisomy 18,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18
253,16.15 +/- 9.18 ,Adult (>18 years old),Female,Pregnancy,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18
254,14.5 (5.1) ,Adult (>18 years old),Female,Early preeclampsia,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18
255,18.8 (9.7) ,Adult (>18 years old),Female,Pregnancy,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18
256,,Adult (>18 years old),Both,Schizophrenia,Detected by 1H NMR
257,3030.0 +/- 20.0,Adult (>18 years old),Both,Diabetes,"With ketoacidosis
"
258,14.33 (10.92),Adult (>18 years old),Female,Pregnancy with fetus having congenital heart defect,"With ketoacidosis
"
259,12.64 (8.21) ,Adult (>18 years old),Female,Pregnancy,"With ketoacidosis
"
260,18.9 (9.8) ,Adult (>18 years old),Female,Late-onset preeclampsia,"With ketoacidosis
"
261,16.5 (9.6) ,Adult (>18 years old),Female,Pregnancy,"With ketoacidosis
"
262,26.27(34.57),Adult (>18 years old),Both,Heart failure with reduced ejection fraction,"With ketoacidosis
"
263,100,Newborn (0-30 days old),Male,2-Ketoglutarate dehydrogenase complex deficiency,"With ketoacidosis
"
264,50-1280,Children (1-13 years old),Male,2-Ketoglutarate dehydrogenase complex deficiency,"With ketoacidosis
"
265,910,Children (1-13 years old),Male,Succinyl CoA: 3-ketoacid CoA transferase deficiency,After 12 hours fasting. Higher than control
266,1540,Children (1-13 years old),Male,Succinyl CoA: 3-ketoacid CoA transferase deficiency,After 9 hours fasting. Higher than control
267,360,Infant (0-1 year old),Male,Pyruvate dehydrogenase phosphatase deficiency,After 9 hours fasting. Higher than control
268,23.5 (24.3) ,Adult (>18 years old),Female,Down syndrome pregnancy,After 9 hours fasting. Higher than control
269,13.9 (7.3) ,Adult (>18 years old),Female,Pregnancy,After 9 hours fasting. Higher than control
270,<30,Children (1-13 years old),Male,3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency,During fasting.
271,22000-50000,Not Specified,Not Specified,3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency,None
272,41.7 +/- 23.9,Adult (>18 years old),Both,Heart Transplant,None
273,17,Adult (>18 years old),Male,3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency,Total carnitine
274,47-68,Infant (0-1 year old),Female,3-Hydroxyacyl-CoA dehydrogenase deficiency (SCHAD),n=1
275,20.6-33.8,Adult (>18 years old),Female,Myopathic carnitine deficiency,Free carnitine. Not significanty different from control
276,0-2.2,Infant (0-1 year old),Female,"Long-chain Fatty Acids, Defect in Transport of",Total plasma carnitine
277,12,Newborn (0-30 days old),Male,Carnitine palmitoyltransferase deficiency I,Free carnitine
278,0,Infant (0-1 year old),Female,Carnitine transporter defect; primary systemic carnitine deficiency,Free carnitine
279,15,Newborn (0-30 days old),Male,Carnitine palmitoyltransferase deficiency I,Total carnitine
280,37-48,Infant (0-1 year old),Not Specified,Oculocerebrorenal Syndrome of Lowe,Total carnitine
281,26.04 +/- 10.5 ,Adult (>18 years old),Female,Pregnancy with fetuses with trisomy 18,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18
282,23-72,Children (1-13 years old),Both,Methylmalonic aciduria mitochondrial encephelopathy Leigh-like,Total carnitine
283,15-34,Children (1-13 years old),Not Specified,Oculocerebrorenal Syndrome of Lowe,Total carnitine
284,24.3 +/- 11.7 ,Adult (>18 years old),Female,Pregnancy,Total carnitine
285,9-33,Adolescent (13-18 years old),Not Specified,Oculocerebrorenal Syndrome of Lowe,Total carnitine
286,19-31,Adult (>18 years old),Not Specified,Oculocerebrorenal Syndrome of Lowe,Total carnitine
287,30.2 (6.3) ,Adult (>18 years old),Female,Early preeclampsia,Total carnitine
288,10-21,Infant (0-1 year old),,Mitochondrial trifunctional protein deficiency,Total carnitine
289,31.8 (14.1) ,Adult (>18 years old),Female,Pregnancy,Total carnitine
290,0.7,Infant (0-1 year old),Female,Carnitine transporter defect; primary systemic carnitine deficiency,Total carnitine
291,4.2,Children (1-13 years old),Male,Carnitine transporter defect; primary systemic carnitine deficiency,Total carnitine
292,,Adult (>18 years old),Both,Colorectal cancer,Total carnitine
293,43-51,Infant (0-1 year old),Male,3-Hydroxyacyl-CoA dehydrogenase deficiency (SCHAD),Free carnitine.
294,16.798 (14.323) ,Adult (>18 years old),Female,Pregnancy with fetus having congenital heart defect,Free carnitine.
295,15.08 +/- 5.71,Children (1-13 years old),Both,Acetaminophen overdose,n = 62
296,21.08 (4.88) ,Adult (>18 years old),Female,Pregnancy with fetus having congenital heart defect,n = 62
297,19.98 (4.82) ,Adult (>18 years old),Female,Pregnancy,n = 62
298,46.8 (24.8) ,Adult (>18 years old),Female,Late-onset preeclampsia,n = 62
299,18-22,Infant (0-1 year old),Male,"2,4-dienoyl-CoA reductase deficiency",n = 62
300,27.8 (20.0) ,Adult (>18 years old),Female,Pregnancy,n = 62
301,50.65(14.14),Adult (>18 years old),Both,Heart failure with preserved ejection fraction,n = 62
302,47.22(15.19),Adult (>18 years old),Both,Heart failure with preserved ejection fraction,n = 62
303,54.38(13.17),Adult (>18 years old),Both,Heart failure with reduced ejection fraction,n = 62
304,50.38(8.11),Adult (>18 years old),Both,Heart failure with reduced ejection fraction,n = 62
305,20.540 +/- 1.850,Children (1-13 years old),Not Specified,3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency,In children of 0.25–3.3 years old. Free carnitine.
306,23-50,Children (1-13 years old),Both,L-2-hydroxyglutaric aciduria,n=3
307,34.0 +/- 8.8,Children (1-13 years old),Both,Obesity,with substantial overweight reduction
308,36.2 +/- 8.1,Children (1-13 years old),Both,Obesity,without substantial overweight reduction
309,25.5 (9.7) ,Adult (>18 years old),Female,Down syndrome pregnancy,without substantial overweight reduction
310,19.5 (8.3) ,Adult (>18 years old),Female,Pregnancy,without substantial overweight reduction
311,1.036,Children (1-13 years old),Male,3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency,During fasting.
312,0.235,Newborn (0-30 days old),Female,"Adrenal insufficiency, congenital, with 46,XY sex reversal, partial or complete",n=1
313,0.0124-0.455,Newborn (0-30 days old),Male,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",n=1
314,<0.0276,Newborn (0-30 days old),Female,"Adrenal insufficiency, congenital, with 46,XY sex reversal, partial or complete",n=1
315,0.34 (0.028-0.66),Adult (>18 years old),Both,"ACTH deficiency, isolated",n=1
316,0.001 (0.0-0.002),Children (1-13 years old),Both,Adrenal Hypoplasia,n=1
317,0.326 +/- 0.090,Adult (>18 years old),Both,Schizophrenia,n=1
318,10.55 +/- 1.93,Adult (>18 years old),Both,Schizophrenia,n=1
319,0.381,Infant (0-1 year old),Female,3-Hydroxyacyl-CoA dehydrogenase deficiency (SCHAD),n=1
320,0.135,Children (1-13 years old),Female,Apparent mineralocorticoid excess,"Morning plasma cortisol. n=1. Lower than normal, but no p value"
321,0.300 +/- 0.200,Newborn (0-30 days old),Not Specified,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",In children of 4-42 days
322,0.684-0.991,Adult (>18 years old),Male,Glucocorticoid resistance,Concentration at 8 am
323,0.400 +/- 0.200,Children (1-13 years old),Not Specified,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",In children of 7-20 months old
324,0.07,Adult (>18 years old),Male,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",n=1
325,0.12,Adolescent (13-18 years old),Male,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",n=1
326,0.290-0.390,Newborn (0-30 days old),Both,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",n=2
327,0.280-0.480,Children (1-13 years old),Both,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",n=3
328,0.00615,Newborn (0-30 days old),Male,Glucocorticoid deficiency,n=3
329,0.353,Newborn (0-30 days old),Male,3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency,n=3
330,0.360 +/- 0.100,Adult (>18 years old),Male,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",n=3
331,0.230 +/- 0.120,Infant (0-1 year old),Not Specified,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",n=3
332,0.300 +/- 0.120,Children (1-13 years old),Both,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",n=3
333,0.360 +/- 0.120,Adult (>18 years old),Female,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",n=3
334,<0.138,Adult (>18 years old),Female,Proprotein Convertase 1/3 Deficiency,n=3
335,,Adult (>18 years old),Male,Schizophrenia,Detected by GC-MS
336,<0.0280,Infant (0-1 year old),Female,Lipoid Adrenal Hyperplasia,Detected by GC-MS
337,0.152,Adult (>18 years old),Female,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",n=1
338,0.556,Newborn (0-30 days old),Female,"Bartter Syndrome, Type 2, Antenatal",n=1
339,0.434-0.654,Infant (0-1 year old),Both,Antley-Bixler syndrome with genital anomalies and disordered steroidogenesis,"ACTH stimulated level. n=4. Lower than normal, but no p value "
340,0.558,Children (1-13 years old),Female,Aromatase deficiency,n=1
341,0.27 +/- 0.06,Adult (>18 years old),Both,Major affective disorder,n=1
342,0.0806,Adolescent (13-18 years old),Female,"Adrenal hyperplasia, congenital, due to 17-alpha-hydroxylase deficiency","n=1. Significantly lower than normal, but no p value"
343,0.41 +/- 0.2,Adult (>18 years old),Both,Tic disorder,"n=1. Significantly lower than normal, but no p value"
344,0.0469,Adult (>18 years old),Female,"Adrenal hyperplasia, congenital, due to 17-alpha-hydroxylase deficiency","n=1. Significantly lower than normal, but no p value"
345,0.221,Infant (0-1 year old),Female,Corticosterone methyloxidase I deficiency- CMO I,"n=1. Significantly lower than normal, but no p value"
346,<0.1,Adult (>18 years old),Female,"ACTH deficiency, isolated","n=1. Significantly lower than normal, but no p value"
347,0.22,Children (1-13 years old),Male,"ACTH deficiency, isolated","n=1. Significantly lower than normal, but no p value"
348,33.8 +/- 37.7,Adult (>18 years old),Both,Heart Transplant,None
349,40.3 (28.3-56.6),Adult (>18 years old),Female,Cirrhosis,None
350,528 +/- 42,Children (1-13 years old),Male,Hypermethioninemia,None
351,25.7  (16.5 -  30.8),Adult (>18 years old),Male,Cirrhosis,None
352,30.3 +/- 12.8 ,Adult (>18 years old),Female,Pregnancy with fetuses with trisomy 18,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18
353,35.6 +/- 15.15 ,Adult (>18 years old),Female,Pregnancy,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18
354,34.7 (10.6) ,Adult (>18 years old),Female,Early preeclampsia,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18
355,37.4 (13.0),Adult (>18 years old),Female,Pregnancy,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18
356,75,Children (1-13 years old),Male,Cerebral creatine deficiency syndrome 1,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18
357,1,Children (1-13 years old),Female,Cerebral creatine deficiency syndrome 3,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18
358,,Adult (>18 years old),Both,Colorectal cancer,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18
359,43.2 +/- 18.10,Adult (>18 years old),Both,Schizophrenia,Detected by CE-TOFMS
360,25.5 (11.41) ,Adult (>18 years old),Female,Pregnancy with fetus having congenital heart defect,Detected by CE-TOFMS
361,23.84 (11.5) ,Adult (>18 years old),Female,Pregnancy,Detected by CE-TOFMS
362,1022.901 +/- 231.298,Adult (>18 years old),Both,Uremia,n=29
363,41.5 (5.9) ,Adult (>18 years old),Female,Late-onset preeclampsia,n=29
364,33.4 (15.6) ,Adult (>18 years old),Female,Pregnancy,n=29
365,121.89(372.94),Adult (>18 years old),Both,Heart failure with reduced ejection fraction,n=29
366,,Adult (>18 years old),Both,Pancreatic cancer,By NMR. Significantly increased vs control.
367,37.4 (13.3) ,Adult (>18 years old),Female,Down syndrome pregnancy,By NMR. Significantly increased vs control.
368,34.4 (11.8) ,Adult (>18 years old),Female,Pregnancy,By NMR. Significantly increased vs control.
369,5896.753,Adult (>18 years old),Not Specified,Cholesteryl ester storage disease,None
370,8198.555,Children (1-13 years old),Not Specified,Cholesteryl ester storage disease,None
371,,Adult (>18 years old),Male,Prostate cancer,By LC-MS 
372,5700.0 (5200.0-6200.0),Adult (>18 years old),Both,Hypercholesterolemia,Borderline-high blood cholesterol; 5700.0 (5200.0-6200.0) (total cholesterol)
373,2689.747-16035.0288,Children (1-13 years old),Both,Cholesteryl ester storage disease,Borderline-high blood cholesterol; 5700.0 (5200.0-6200.0) (total cholesterol)
374,4060,Infant (0-1 year old),Male,3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency,Borderline-high blood cholesterol; 5700.0 (5200.0-6200.0) (total cholesterol)
375,<5172.590,Adult (>18 years old),Both,Hyperlipidemia,Borderline-high blood cholesterol; 5700.0 (5200.0-6200.0) (total cholesterol)
376,>5172.590,Adult (>18 years old),Both,Cystinosis,after Kidney Transplantation
377,4836.372 +/- 1215.559,Children (1-13 years old),Both,Cystinosis,after Kidney Transplantation
378,7725.263 +/- 1629.366,Children (1-13 years old),Both,"Hypercholesterolemia, familial",after Kidney Transplantation
379,3801.854,Infant (0-1 year old),Female,Primary Familial Xanthomatosis With Involvement and Calcification of the Adrenals,after Kidney Transplantation
380,4141.0 (3105.0-5176.0),Adult (>18 years old),Both,Cholesteryl ester storage disease,total cholesterol
381,9317.8 (7764.8-10870.8),Children (1-13 years old),Both,Cholesteryl ester storage disease,total cholesterol
382,8000.0 (6000.0-10000.0),Children (1-13 years old),Both,Cystinosis,total cholesterol
383,4319.113,Adult (>18 years old),Male,27-hydroxylase deficiency,n=1. Total cholesterol.
384,4629.468,Adult (>18 years old),Male,Primary Hypomagnesemia,n=1
385,3200.0 (2600.0-4100.0),Adult (>18 years old),Both,Acute myelogenous leukemia (AML),n=1
386,2198.351-2405.254,Adolescent (13-18 years old),Female,SC4MOL deficiency,n=1
387,2844.924 (2689.747-16035.0288),Children (1-13 years old),Both,Cholesteryl ester storage disease,Total cholesterol. Elevated.
388,4474.29,Children (1-13 years old),Male,"Chondrodysplasia punctata, X-linked dominant",Total cholesterol. Elevated.
389,4189.798,Children (1-13 years old),Male,Desmosterolosis,Total cholesterol. Elevated.
390,1293.147,Newborn (0-30 days old),Male,Donohue Syndrome,Total cholesterol. Elevated.
391,4991.549,Infant (0-1 year old),Female,Leptin Deficiency or Dysfunction,Total cholesterol. Elevated.
392,2190,Adult (>18 years old),Male,Abetalipoproteinemia,"n=1. Significantly lower than normal, but no p value"
393,,Adult (>18 years old),Both,Schizophrenia,Detected by GC-MS
394,4250.0585 +/- 658.471,Adult (>18 years old),Both,Apolipoprotein C-II deficiency,n=9
395,4980 +/- 2730,Children (1-13 years old),Male,Duchenne Muscular Dystrophy,"gene deletion negative, total cholesterol"
396,4920 +/- 3640,Children (1-13 years old),Male,Duchenne Muscular Dystrophy,"gene deletion positive, total cholesterol"
397,2190-2940,Adult (>18 years old),Both,Lecithin:cholesterol Acyltransferase Deficiency,Total cholesterol
398,4750 (4210-5930),Adult (>18 years old),Both,Lipodystrophy,Total cholesterol
399,4580 (3740-6040),Adult (>18 years old),Both,"Lipodystrophy, Congenital Generalized",Total cholesterol
400,5720 (3830-10030),Children (1-13 years old),Not Specified,Oculocerebrorenal Syndrome of Lowe,Total cholesterol
401,5060 (4390-6260),Adult (>18 years old),Both,Familial partial lipodystrophy,Total cholesterol
402,4100,Children (1-13 years old),Male,Lathosterolosis,Total cholesterol
403,4630 (4030-5460),Adult (>18 years old),Both,Partial lipodystrophy,Total cholesterol
404,5715.712,Adult (>18 years old),Male,27-hydroxylase deficiency,n=1. Total cholesterol.
405,400,Infant (0-1 year old),Both,Smith-Lemli-Opitz syndrome,total cholesterol
406,2680 +/- 1850,Adult (>18 years old),,Familial lipoprotein lipase deficiency,"Free cholesterol. Significantly higher than control, p=0.0074"
407,,Adult (>18 years old),Both,Schizophrenia,Detected by GC-MS
408,0.00241 +/- 0.00057,Adult (>18 years old),Both,Head trauma,None
