,Name,Accession,Value(uM),Subject Age,Subject Sex,Subject Information
303,Cholesterol,HMDB0000067,5700.0 (4500.0-6700.0),Adult (>18 years old),Both,Normal
304,Cholesterol,HMDB0000067,3801.854 (2870.787-4732.920),Children (1-13 years old),Not Specified,Normal
305,Cholesterol,HMDB0000067,3620.813-4551.879,Adolescent (13-18 years old),Not Specified,Normal
306,Cholesterol,HMDB0000067,<5172.590,Children (1-13 years old),Not Specified,Normal
307,Cholesterol,HMDB0000067,<5172.590,Infant (0-1 year old),Not Specified,Normal
308,Cholesterol,HMDB0000067,,Adult (>18 years old),Both,Normal
309,Cholesterol,HMDB0000067,3900-6500,Adult (>18 years old),Not Specified,Normal
310,Cholesterol,HMDB0000067,4409.633 +/- 788.820,Adult (>18 years old),Both,Normal
311,Cholesterol,HMDB0000067,3760 +/- 98,Adult (>18 years old),Both,Normal
312,Cholesterol,HMDB0000067,820 +/- 9,Adult (>18 years old),Both,Normal
313,Cholesterol,HMDB0000067,4750 (4220-5230),Adult (>18 years old),Both,Normal
314,Cholesterol,HMDB0000067,1920 +/- 1290,Children (1-13 years old),Male,Normal
315,Cholesterol,HMDB0000067,3080-5400,Children (1-13 years old),Not Specified,Normal
316,Cholesterol,HMDB0000067,0-5193.280,Adult (>18 years old),Both,Normal
317,Cholesterol,HMDB0000067,0.0-5200,Adult (>18 years old),Female,Normal
318,Cholesterol,HMDB0000067,0.0-5200,Adult (>18 years old),Male,Normal
319,Cholesterol,HMDB0000067,4850 +/- 1020,Adult (>18 years old),Male,Normal
320,Cholesterol,HMDB0000067,4960 +/- 1170,Adult (>18 years old),Female,Normal
321,Cholesterol,HMDB0000067,3879.442 +/- 905.203,Children (1 - 13 years old),Female,Normal
322,Cholesterol,HMDB0000067,4008.757 +/- 750.0255,Children (1 - 13 years old),Male,Normal
323,Cholesterol,HMDB0000067,1230 +/- 250,Adult (>18 years old),,Normal
324,Cholesterol,HMDB0000067,430-610,Adult (>18 years old),Male,Normal
325,Cholesterol,HMDB0000067,390-570,Adult (>18 years old),Female,Normal
326,Cholesterol,HMDB0000067,,Adult (>18 years old),Both,Normal
327,Cholesterol,HMDB0000067,5000.0 (4500.0-5500.0),Adult (>18 years old),Both,Normal
328,Epinephrine,HMDB0000068,0.00164 +/- 0.00012,Adult (>18 years old),Both,Normal
329,Epinephrine,HMDB0000068,0.00029 +/- 0.000021,Adult (>18 years old),Female,Normal
330,Epinephrine,HMDB0000068,0.00072 (0.00049-0.0013),Adult (>18 years old),Male,Normal
331,Epinephrine,HMDB0000068,0.0003 +/- 0.00003,Adult (>18 years old),Male,Normal
332,Pipecolic acid,HMDB0000070,2.46 +/- 1.26,Adult (>18 years old),Both,Normal
333,Pipecolic acid,HMDB0000070,0-5,Newborn (0-30 days old),Both,Normal
334,Pipecolic acid,HMDB0000070,0-5,Infant (1 - 3 months old),Both,Normal
335,Pipecolic acid,HMDB0000070,5.73 (3.75 - 10.8),Newborn (0-30 days old),Both,Normal
336,Pipecolic acid,HMDB0000070,0-10,Children (3 months - 6 years old),Both,Normal
337,Pipecolic acid,HMDB0000070,0-10,Children (6 - 18 years old),Both,Normal
338,Pipecolic acid,HMDB0000070,1.46 (0.70-2.46),Newborn (0-30 days old),Both,Normal
339,Pipecolic acid,HMDB0000070,<4,Children (1-13 years old),Not Specified,Normal
340,Pipecolic acid,HMDB0000070,2.0 +/- 0.8,Infant (0-1 year old),Not Specified,Normal
341,Pipecolic acid,HMDB0000070,0.4-4.9,Infant (0-1 year old),Not Specified,Normal
342,Pipecolic acid,HMDB0000070,<2.323,Children (1 - 13 years old),Male,Normal
343,Pipecolic acid,HMDB0000070,<3,Children (1 - 13 years old),Male,Normal
344,Pipecolic acid,HMDB0000070,0.540-2.460,Newborn (0-30 days old),Both,Normal
345,Pipecolic acid,HMDB0000070,0.774-54.198,Children (1-13 years old),Both,Normal
346,Pipecolic acid,HMDB0000070,,Adult (>18 years old),Both,Normal
347,Pipecolic acid,HMDB0000070,10.0 (0.0-20.0),Children (1-13 years old),Both,Normal
348,Pipecolic acid,HMDB0000070,1.20 +/- 0.11,Adult (>18 years old),Both,Normal
349,Pipecolic acid,HMDB0000070,,Adult (>18 years old),Female,Normal
350,Deoxyinosine,HMDB0000071,,,,Normal
351,Dopamine,HMDB0000073,< 0.00013,Adult (>18 years old),Both,Normal
352,Dopamine,HMDB0000073,0.00000-0.00013,Adult (>18 years old),Both,Normal
353,Dihydrouracil,HMDB0000076,0.31 (0.02-1.63),Adult (>18 years old),Female,Normal
354,Dihydrouracil,HMDB0000076,0.31 (0.02-1.63),Adult (>18 years old),Both,Normal
355,Dihydrouracil,HMDB0000076,0.32 ( 0.10-0.74),Adult (>18 years old),Male,Normal
356,Dehydroepiandrosterone,HMDB0000077,0.00173-0.0264,Newborn (0-30 days old),Female,Normal
357,Dehydroepiandrosterone,HMDB0000077,0.00225-0.0433,Newborn (0-30 days old),Female,Normal
358,Dehydroepiandrosterone,HMDB0000077,0.020 +/- 0.011,Adult (>18 years old),Male,Normal
359,Dehydroepiandrosterone,HMDB0000077,0.0153 +/- 0.00763,Adult (>18 years old),Female,Normal
360,Dehydroepiandrosterone,HMDB0000077,0.001 (0.00034-0.0017),Children (1-13 years old),Female,Normal
361,Dehydroepiandrosterone,HMDB0000077,0.0087 (0.0035-0.013),Adult (>18 years old),Female,Normal
362,Dehydroepiandrosterone,HMDB0000077,0.0146 +/- 0.00451,Adult (>18 years old),Female,Normal
363,Dehydroepiandrosterone,HMDB0000077,0.023 (0.005-0.042),Adult (>18 years old),Both,Normal
364,Dehydroepiandrosterone,HMDB0000077,0.000700-0.0204,Infant (0-1 year old),Not Specified,Normal
365,Dehydroepiandrosterone,HMDB0000077,0.00295 +/- 0.00319,Children (1-13 years old),Both,Normal
366,Cysteinylglycine,HMDB0000078,65.7 +/- 4.6,Adult (>18 years old),Male,Normal
367,Cysteinylglycine,HMDB0000078,13.6 +/- 3.6,Adult (>18 years old),Both,Normal
368,Cysteinylglycine,HMDB0000078,51.7 +/- 1.7,Infant (0-1 year old),Male,Normal
369,Cysteinylglycine,HMDB0000078,63.4 +/- 7.4,Children (1-13 years old),Male,Normal
370,Cysteinylglycine,HMDB0000078,54.0 +/- 18.8,Adolescent (13-18 years old),Male,Normal
371,Cysteinylglycine,HMDB0000078,56.0 +/- 7.0,Children (1-13 years old),Female,Normal
372,Cysteinylglycine,HMDB0000078,51.8 +/- 4.9,Infant (0-1 year old),Female,Normal
373,Cysteinylglycine,HMDB0000078,57.5 +/- 5.9,Adolescent (13-18 years old),Female,Normal
374,Cysteinylglycine,HMDB0000078,53.2 +/- 7.7,Adult (>18 years old),Female,Normal
375,Dihydrothymine,HMDB0000079,,,,Normal
376,Deoxyguanosine,HMDB0000085,0,Children (1 - 13 years old),Both,Normal
377,Glycerophosphocholine,HMDB0000086,,Adult (>18 years old),Both,Normal
378,Glycerophosphocholine,HMDB0000086,34.0 +/- 5.0,Infant (0-1 year old),Both,Normal
379,Glycerophosphocholine,HMDB0000086,40.0 +/- 4.0,Newborn (0-30 days old),Both,Normal
380,Glycerophosphocholine,HMDB0000086,29.0 +/- 5.0,Infant (0-1 year old),Both,Normal
381,Glycerophosphocholine,HMDB0000086,33.0 +/- 4.0,Adult (>18 years old),Female,Normal
382,Dimethylamine,HMDB0000087,20.18 (3.33-53.22),Adult (>18 years old),Both,Normal
383,Dimethylamine,HMDB0000087,1.43 +/- 0.23,Adult (>18 years old),Female,Normal
384,Dimethylamine,HMDB0000087,3.3 +/- 1.5,Adult (>18 years old),Both,Normal
385,Dimethylamine,HMDB0000087,48.36 +/- 7.32,Adult (>18 years old),Both,Normal
386,Cytidine,HMDB0000089,0.25 +/- 0.19,Adult (>18 years old),Both,Normal
387,Cytidine,HMDB0000089,<2,Children (3 months - 6 years old),Not Specified,Normal
388,Cytidine,HMDB0000089,0.1,Adult (>18 years old),Both,Normal
389,Dimethylglycine,HMDB0000092,5-Jan,Adult (>18 years old),Not Specified,Normal
390,Dimethylglycine,HMDB0000092,<3.700,Adult (>18 years old),Both,Normal
391,Dimethylglycine,HMDB0000092,2.6 (1.8-3.7),Adult (>18 years old),Both,Normal
392,Dimethylglycine,HMDB0000092,1.9 (1.1-3.4),Adult (>18 years old),Both,Normal
393,Citric acid,HMDB0000094,,Adult (>18 years old),Both,Normal
394,Citric acid,HMDB0000094,54.2 +/- 0.8,Children (1-13 years old),Both,Normal
395,Citric acid,HMDB0000094,190.0 (30.0-400.0),Adult (>18 years old),Both,Normal
396,Citric acid,HMDB0000094,88.0 +/- 33.0,Adult (>18 years old),Both,Normal
397,Citric acid,HMDB0000094,122.0 +/- 30.0,Children (1-13 years old),Both,Normal
398,Citric acid,HMDB0000094,40-160,Not Specified,Not Specified,Normal
399,Citric acid,HMDB0000094,122.3(27.85),Adult (>18 years old),Both,Normal
400,Citric acid,HMDB0000094,30.00-400.0,Adult (>18 years old),Both,Normal
401,Citric acid,HMDB0000094,,Adult (>18 years old),Both,Normal
402,Citric acid,HMDB0000094,114.2 +/- 27,Adult (>18 years old),Both,Normal
403,Choline,HMDB0000097,6.0 +/- 0.3,Adult (>18 years old),Male,Normal
404,Choline,HMDB0000097,27.5 +/- 3.3,Newborn (0-30 days old),Both,Normal
405,Choline,HMDB0000097,10.6 +/- 1.9,Adult (>18 years old),Both,Normal
406,Choline,HMDB0000097,6.8 +/- 0.3,Adult (>18 years old),Female,Normal
407,Choline,HMDB0000097,8.70-19.8,Adult (>18 years old),Both,Normal
408,Choline,HMDB0000097,14.5 +/- 5.3,Adult (>18 years old),Both,Normal
409,D-Xylose,HMDB0000098,3088.7 +/- 527.9,Adult (>18 years old),Not Specified,Normal
410,D-Xylose,HMDB0000098,1797.5 +/- 328.2,Adult (>18 years old),Not Specified,Normal
411,D-Xylose,HMDB0000098,1797.33 (1458.74 - 2357.96),,,Normal
412,L-Cystathionine,HMDB0000099,0.329 (0.150-0.661),Adult (>18 years old),Both,Normal
413,L-Cystathionine,HMDB0000099,0.0440-0.342,Adult (>18 years old),Not Specified,Normal
414,L-Cystathionine,HMDB0000099,0.17 (0.1 – 0.27),Children (1-13 years old),Both,Normal
415,L-Cystathionine,HMDB0000099,1.0 (0.3-5.5),Newborn (0-30 days old),Both,Normal
416,L-Cystathionine,HMDB0000099,0.126 (0.065 - 0.301),Adult (>18 years old),Both,Normal
417,Deoxyadenosine,HMDB0000101,,,,Normal
418,Galactitol,HMDB0000107,0.82 (0.05 - 2.63),Adult (>18 years old),Both,Normal
419,Galactitol,HMDB0000107,0.36 (0.23-0.48),Adult (>18 years old),Both,Normal
420,Ethanol,HMDB0000108,40.0 (0.0-80.0),Adult (>18 years old),Both,Normal
421,Ethanol,HMDB0000108,15.0 (0.0-33.0),Adult (>18 years old),Both,Normal
422,Ethanol,HMDB0000108,0.00-33.0,Adult (>18 years old),Both,Normal
423,gamma-Aminobutyric acid,HMDB0000112,0.110 +/- 0.023,Adult (>18 years old),Both,Normal
424,gamma-Aminobutyric acid,HMDB0000112,0.120-0.500,Children (1 - 13 years old),Both,Normal
425,Glycolic acid,HMDB0000115,50-123,Adolescent (13-18 years old),Female,Normal
426,Glycolic acid,HMDB0000115,34,Adult (>18 years old),Female,Normal
427,Glycolic acid,HMDB0000115,7.9 +/- 2.4,Adult (>18 years old),Both,Normal
428,Glycolic acid,HMDB0000115,7.8 +/- 1.7,Adult (>18 years old),Both,Normal
429,Homovanillic acid,HMDB0000118,0.082 +/- 0.050,Adult (>18 years old),Both,Normal
430,Homovanillic acid,HMDB0000118,0.048 +/- 0.009,Adult (>18 years old),Male,Normal
431,Homovanillic acid,HMDB0000118,0.03 +/- 0.006,Adult (>18 years old),Male,Normal
432,Homovanillic acid,HMDB0000118,0.047 +/- 0.01,Adult (>18 years old),Male,Normal
433,Homovanillic acid,HMDB0000118,0.078 +/- 0.029,Adult (>18 years old),Male,Normal
434,Homovanillic acid,HMDB0000118,0.029 +/- 0.045,Adult (>18 years old),Male,Normal
435,Homovanillic acid,HMDB0000118,0.027 +/- 0.004,Adult (>18 years old),Male,Normal
436,Homovanillic acid,HMDB0000118,0.029 +/- 0.005,Adult (>18 years old),Male,Normal
437,Homovanillic acid,HMDB0000118,0.166 +/- 0.147,Adult (>18 years old),Male,Normal
438,Glyoxylic acid,HMDB0000119,3.05 (0.25–12.78),Adult (>18 years old),Male,Normal
439,Folic acid,HMDB0000121,0.021 (0.017-0.025),Adult (>18 years old),Both,Normal
440,Folic acid,HMDB0000121,0.0295-0.0340,Infant (0-1 year old),Not Specified,Normal
441,Folic acid,HMDB0000121,0.00544-0.0272,Infant (0-1 year old),Not Specified,Normal
442,Folic acid,HMDB0000121,0.039 (0.01 - 0.14),Newborn (0-30 days old),Not Specified,Normal
443,Folic acid,HMDB0000121,0.011 (0.004 - 0.028),Children (1-13 years old),Not Specified,Normal
444,Folic acid,HMDB0000121,0.009 (0.0024 - 0.024),Adult (>18 years old),Not Specified,Normal
445,Folic acid,HMDB0000121,0.024,Infant (5 days - <1 year old),Both,Normal
446,Folic acid,HMDB0000121,0.0088,Children (1 - <3 years old),Both,Normal
447,Folic acid,HMDB0000121,0.027,Children (3 - <6 years old),Both,Normal
448,Folic acid,HMDB0000121,0.0297,Children (6 - <8 years old),Both,Normal
449,Folic acid,HMDB0000121,0.0258,Children (8 - <12 years old),Both,Normal
450,Folic acid,HMDB0000121,0.027,Adolescent (12 - <14 years old),Both,Normal
451,Folic acid,HMDB0000121,0.0179,Adolescent (14 - <19 years old,Both,Normal
452,Folic acid,HMDB0000121,0.00400-0.0150,Adult (>18 years old),Not Specified,Normal
453,Folic acid,HMDB0000121,0.016 +/- 0.0049,Adult (>18 years old),Both,Normal
454,Folic acid,HMDB0000121,0.02 (0.011- 0.036),Adult (>18 years old),Both,Normal
455,Folic acid,HMDB0000121,0.009 (0.0026-0.026),Adult (>18 years old),Female,Normal
456,Folic acid,HMDB0000121,0.023 (0.002-0.045),Children (1-13 years old),Both,Normal
457,D-Glucose,HMDB0000122,3100-5600,Not Specified,Not Specified,Normal
458,D-Glucose,HMDB0000122,3890-5550,Not Specified,Not Specified,Normal
459,D-Glucose,HMDB0000122,4860 (4670-5190),Adult (>18 years old),Both,Normal
460,D-Glucose,HMDB0000122,3300-6900,Children (1-13 years old),Not Specified,Normal
461,D-Glucose,HMDB0000122,5000 +/- 600,Adult (>18 years old),Both,Normal
462,D-Glucose,HMDB0000122,4200-6300,Newborn (0-30 days old),Not Specified,Normal
463,D-Glucose,HMDB0000122,3500-6000,Children (1-13 years old),Not Specified,Normal
464,D-Glucose,HMDB0000122,5350.0 +/- 120.0,Adult (>18 years old),Both,Normal
465,D-Glucose,HMDB0000122,5400.0 (4700.0 - 6100.0),Adult (>18 years old),Both,Normal
466,D-Glucose,HMDB0000122,3300-5600,Not Specified,Not Specified,Normal
467,D-Glucose,HMDB0000122,3885.524-6105.823,Children (1-13 years old),Not Specified,Normal
468,D-Glucose,HMDB0000122,4163.0610-6383.360,Infant (0-1 year old),Not Specified,Normal
469,D-Glucose,HMDB0000122,<5994.808,Adult (>18 years old),Not Specified,Normal
470,D-Glucose,HMDB0000122,2800-5000,Not Specified,Not Specified,Normal
471,D-Glucose,HMDB0000122,3885.524-6105.823,Not Specified,Not Specified,Normal
472,D-Glucose,HMDB0000122,5181.0 +/- 394.0,Adult (>18 years old),Both,Normal
473,D-Glucose,HMDB0000122,4380 +/-275,Children (1-13 years old),Both,Normal
474,D-Glucose,HMDB0000122,4500 +/- 1000,Adult (>18 years old),Both,Normal
475,D-Glucose,HMDB0000122,4894.19(1723.06),Adult (>18 years old),Both,Normal
476,D-Glucose,HMDB0000122,,Adult (>18 years old),Both,Normal
477,D-Glucose,HMDB0000122,4000.0-6000.0,Adult (>18 years old),Both,Normal
478,D-Glucose,HMDB0000122,,Adult (>18 years old),Both,Normal
479,D-Glucose,HMDB0000122,4823.600 +/- 249.784,Children (1-13 years old),Both,Normal
480,D-Glucose,HMDB0000122,5300.0 (4900.0 - 5700.0),Adult (>18 years old),Both,Normal
481,D-Glucose,HMDB0000122,4695.933 +/- 327.494,Children (1-13 years old),Both,Normal
482,D-Glucose,HMDB0000122,4750.0 +/- 184.0,Newborn (0-30 days old),Both,Normal
483,D-Glucose,HMDB0000122,2200.0 (1100.0 - 3300.0),Newborn (0-30 days old),Both,Normal
484,D-Glucose,HMDB0000122,4440.0 +/- 370.0,Adult (>18 years old),Both,Normal
485,D-Glucose,HMDB0000122,4570.0 +/- 411.0,Adult (>18 years old),Male,Normal
486,D-Glucose,HMDB0000122,2750.0 (2200.0-3300.0),Newborn (0-30 days old),Both,Normal
487,D-Glucose,HMDB0000122,4470.0 +/- 346.0,Adult (>18 years old),Female,Normal
488,D-Glucose,HMDB0000122,4450.0 (3300.0 - 5600.0),Children (1-13 years old),Both,Normal
489,D-Glucose,HMDB0000122,5450.0 (4200.0 - 6700.0),Elderly (>65 years old),Both,Normal
490,D-Glucose,HMDB0000122,3500-7000,Infant (0-1 year old),Not Specified,Normal
491,D-Glucose,HMDB0000122,4971.3 +/- 372.8,Adult (>18 years old),Both,Normal
492,D-Glucose,HMDB0000122,4440.0 +/- 100.0,Adult (>18 years old),Both,Normal
493,D-Glucose,HMDB0000122,4470.0 +/- 110.0,Adult (>18 years old),Both,Normal
494,Glycine,HMDB0000123,242.0 +/- 44.0,Adult (>18 years old),Male,Normal
495,Glycine,HMDB0000123,258.0 +/- 64.0,Adult (>18 years old),Female,Normal
496,Glycine,HMDB0000123,106-272,Newborn (0-30 days old),Both,Normal
497,Glycine,HMDB0000123,150-350,Infant (1 - 3 months old),Both,Normal
498,Glycine,HMDB0000123,125-400,Children (3 months - 6 years old),Both,Normal
499,Glycine,HMDB0000123,140-490,Children (6 - 18 years old),Both,Normal
500,Glycine,HMDB0000123,329.9 +/- 105.6,Adult (>18 years old),Both,Normal
501,Glycine,HMDB0000123,147-321,Not Specified,Not Specified,Normal
502,Glycine,HMDB0000123,,Adult (>18 years old),Both,Normal
503,Glycine,HMDB0000123,149-301,Infant (0-1 year old),Not Specified,Normal
504,Glycine,HMDB0000123,184-356,Newborn (0-30 days old),Not Specified,Normal
505,Glycine,HMDB0000123,140-420,Infant (0-1 year old),Not Specified,Normal
506,Glycine,HMDB0000123,200-600,Newborn (0-30 days old),Not Specified,Normal
507,Glycine,HMDB0000123,80-341,Infant (0-1 year old),Not Specified,Normal
508,Glycine,HMDB0000123,100-320,Newborn (0-30 days old),Not Specified,Normal
509,Glycine,HMDB0000123,126-384,Newborn (0-30 days old),Not Specified,Normal
510,Glycine,HMDB0000123,280.0 (140.0-420.0),Newborn (0-30 days old),Both,Normal
511,Glycine,HMDB0000123,<300,Children (1 - 13 years old),Male,Normal
512,Glycine,HMDB0000123,100 - 310,Children (1 - 13 years old),Not Specified,Normal
513,Glycine,HMDB0000123,120-320,Adult (>18 years old),Both,Normal
514,Glycine,HMDB0000123,213  +/- 35,Infant (0-1 year old),Both,Normal
515,Glycine,HMDB0000123,56-308,Infant (0-1 year old),Both,Normal
516,Glycine,HMDB0000123,60-310,Children (1-13 years old),Both,Normal
517,Glycine,HMDB0000123,180-709,Newborn (0-30 days old),Not Specified,Normal
518,Glycine,HMDB0000123,212.4 +/- 57.4,Adult (>18 years old),Male,Normal
519,Glycine,HMDB0000123,150.0-440.0,Adult (>18 years old),Both,Normal
520,Glycine,HMDB0000123,220 +/- 33,Children (1 - 13 years old),Both,Normal
521,Glycine,HMDB0000123,300 +/- 114,Adult (>18 years old),Female,Normal
522,Glycine,HMDB0000123,255.4 +/- 65.9,Adult (>18 years old),Both,Normal
523,Glycine,HMDB0000123,306.63,Children (1-13 years old),Not Specified,Normal
524,Glycine,HMDB0000123,236 +/- 43,Adult (>18 years old),Male,Normal
525,Glycine,HMDB0000123,304.4(255.1-362.8),Children (1-13 uears old),Both,Normal
526,Glycine,HMDB0000123,230.0 (178.0-282.0),Adult (>18 years old),Both,Normal
527,Glycine,HMDB0000123,325.4 +/- 126.8,Adult (>18 years old),Both,Normal
528,Glycine,HMDB0000123,,Adult (>18 years old),Both,Normal
529,Glycine,HMDB0000123,460.0 +/- 275.0,Newborn (0-30 days old),Not Specified,Normal
530,Glycine,HMDB0000123,234.0 +/- 34.0,Children (1-13 years old),Male,Normal
531,Fructose 6-phosphate,HMDB0000124,9.9 +/- 2.3,Newborn (0-30 days old),Both,Normal
532,Fructose 6-phosphate,HMDB0000124,10.2 +/- 1.8,Adult (>18 years old),Both,Normal
533,Glutathione,HMDB0000125,4.35 +/- 2.10,Adolescent (13-18 years old),Male,Normal
534,Glutathione,HMDB0000125,3.20 +/- 2.20,Adolescent (13-18 years old),Male,Normal
535,Glutathione,HMDB0000125,1.0738-1.725,Adult (>18 years old),Not Specified,Normal
536,Glutathione,HMDB0000125,800.50 +/- 201.73,Adult (>18 years old),Both,Normal
537,Glutathione,HMDB0000125,3.67 +/- 0.241,Adult (>18 years old),Both,Normal
538,Glutathione,HMDB0000125,12.5 +/- 5.2,Infant (0-1 year old),Male,Normal
539,Glutathione,HMDB0000125,10.9 +/- 4.5,Children (1-13 years old),Male,Normal
540,Glutathione,HMDB0000125,12.00 +/- 3.00,Adolescent (13-18 years old),Male,Normal
541,Glutathione,HMDB0000125,12.8 +/- 4.6,Adult (>18 years old),Male,Normal
542,Glutathione,HMDB0000125,37.03 +/- 4.76,Adult (>18 years old),Both,Normal
543,Glycerol 3-phosphate,HMDB0000126,30.0 +/- 3.0,Adult (>18 years old),Both,Normal
544,D-Glucuronic acid,HMDB0000127,165.0 +/- 32.0,Adult (>18 years old),Male,Normal
545,D-Glucuronic acid,HMDB0000127,165.0 +/- 23.0,Adult (>18 years old),Female,Normal
546,Guanidoacetic acid,HMDB0000128,2.8 +/- 0.9,Adult (>18 years old),Both,Normal
547,Guanidoacetic acid,HMDB0000128,1.0-3.5,Children (1-13 years old),Not Specified,Normal
548,Guanidoacetic acid,HMDB0000128,0.35-8.0,Children (1-13 years old),Not Specified,Normal
549,Guanidoacetic acid,HMDB0000128,0.7-1.4,Children (1-13 years old),Both,Normal
550,Guanidoacetic acid,HMDB0000128,0.7-3.5,Adult (>18 years old),Both,Normal
551,Guanidoacetic acid,HMDB0000128,1.3-3.3,Adult (>18 years old),Female,Normal
552,Guanidoacetic acid,HMDB0000128,1.90 +/- 0.68,Adult (>18 years old),Both,Normal
553,Guanidoacetic acid,HMDB0000128,3.08 (0.87-3.64),Adult (>18 years old),Both,Normal
554,Guanidoacetic acid,HMDB0000128,19.0 (3.0-37.0),Adult (>18 years old),Not Specified,Normal
555,Guanidoacetic acid,HMDB0000128,1.900 +/- 0.680,Adult (>18 years old),Both,Normal
556,Guanidoacetic acid,HMDB0000128,2.0 (0.0 - 5.0),Adult (>18 years old),Both,Normal
557,Guanidoacetic acid,HMDB0000128,16.8 (0.81-32.9),Adult (>18 years old),Both,Normal
558,Guanidoacetic acid,HMDB0000128,1.22 +/- 0.40,Adult (>18 years old),Both,Normal
559,Homogentisic acid,HMDB0000130,0.043 (0.014 - 0.071),Adult (>18 years old),Both,Normal
560,Glycerol,HMDB0000131,,Adult (>18 years old),Both,Normal
561,Glycerol,HMDB0000131,40.0 +/- 19.0,Newborn (0-30 days old),Both,Normal
562,Glycerol,HMDB0000131,43.0 +/-  9.0,Adult (>18 years old),Male,Normal
563,Glycerol,HMDB0000131,50.0 +/- 16.0,Adult (>18 years old),Female,Normal
564,Glycerol,HMDB0000131,39.0 +/- 9.0,Adult (>18 years old),Both,Normal
565,Glycerol,HMDB0000131,68.0 (33.0 - 139.0),Elderly (>65 years old),Both,Normal
566,Glycerol,HMDB0000131,80-230,Children (1 - 13 years old),Male,Normal
567,Glycerol,HMDB0000131,284.6(213.9),Adult (>18 years old),Both,Normal
568,Glycerol,HMDB0000131,331.2-532.0,Adult (>18 years old),Both,Normal
569,Glycerol,HMDB0000131,50 +/- 16,Adult (>18 years old),Female,Normal
