,Name,Accession,Value(uM),Patient Age,Patient Sex,Patient Information
234,Bilirubin,HMDB0000054,8.80 +/- 1.22,Adult (>18 years old),Both,Growth hormone deficiency
235,Bilirubin,HMDB0000054,573.0 (291.0-855.0),Children (1-13 years old),Both,Crigler-Najjar syndrome Type I
236,Bilirubin,HMDB0000054,29.59,Newborn (0-30 days old),Male,Lathosterolosis
237,Bilirubin,HMDB0000054,380.733 +/- 142.989,Newborn (0-30 days old),Both,Glucose-6-phosphate dehydrogenase deficiency
238,Bilirubin,HMDB0000054,6.842-20.525,Adult (>18 years old),Male,Primary Hypomagnesemia
239,Bilirubin,HMDB0000054,18.814-518.248,Adult (>18 years old),Male,"Cholestasis, progressive familial intrahepatic, 1"
240,Bilirubin,HMDB0000054,42.247,Newborn (0-30 days old),Male,Lathosterolosis
241,Bilirubin,HMDB0000054,42.760-141.962,Children (1-13 years old),Female,"Cholestasis, progressive familial intrahepatic, 1"
242,Bilirubin,HMDB0000054,78.678,Newborn (0-30 days old),Male,Donohue Syndrome
243,Bilirubin,HMDB0000054,111.175,Newborn (0-30 days old),Male,Donohue Syndrome
244,beta-Alanine,HMDB0000056,4.0 (0.9-6.2),Adult (>18 years old),Both,Dihydropyrimidine dehydrogenase (DPD) deficiency
245,beta-Alanine,HMDB0000056,2.7 +/- 1.3,Adult (>18 years old),Both,Dihydropyrimidine dehydrogenase (DPD) deficiency
246,beta-Alanine,HMDB0000056,6,Children (1-13 years old),Male,Methylmalonate semialdehyde dehydrogenase deficiency
247,beta-Alanine,HMDB0000056,23.0,Children (1-13 years old),Both,GABA transaminase deficiency
248,beta-Alanine,HMDB0000056,5.00 (0.00-10.00),Adult (>18 years old),Both,Hyper beta-alaninemia
249,beta-Alanine,HMDB0000056,107.5 (15.00-200.00),Children (1-13 years old),Both,Hyper beta-alaninemia
250,Cyclic AMP,HMDB0000058,0.0077 +/- 0.0003,Adult (>18 years old),Male,Sildenafil-induced headache
251,Acetoacetic acid,HMDB0000060,27.3 +/- 14.4,Adult (>18 years old),Both,Heart Transplant
252,Acetoacetic acid,HMDB0000060,19.56 +/- 10.63 ,Adult (>18 years old),Female,Pregnancy with fetuses with trisomy 18
253,Acetoacetic acid,HMDB0000060,16.15 +/- 9.18 ,Adult (>18 years old),Female,Pregnancy
254,Acetoacetic acid,HMDB0000060,14.5 (5.1) ,Adult (>18 years old),Female,Early preeclampsia
255,Acetoacetic acid,HMDB0000060,18.8 (9.7) ,Adult (>18 years old),Female,Pregnancy
256,Acetoacetic acid,HMDB0000060,,Adult (>18 years old),Both,Schizophrenia
257,Acetoacetic acid,HMDB0000060,3030.0 +/- 20.0,Adult (>18 years old),Both,Diabetes
258,Acetoacetic acid,HMDB0000060,14.33 (10.92),Adult (>18 years old),Female,Pregnancy with fetus having congenital heart defect
259,Acetoacetic acid,HMDB0000060,12.64 (8.21) ,Adult (>18 years old),Female,Pregnancy
260,Acetoacetic acid,HMDB0000060,18.9 (9.8) ,Adult (>18 years old),Female,Late-onset preeclampsia
261,Acetoacetic acid,HMDB0000060,16.5 (9.6) ,Adult (>18 years old),Female,Pregnancy
262,Acetoacetic acid,HMDB0000060,26.27(34.57),Adult (>18 years old),Both,Heart failure with reduced ejection fraction
263,Acetoacetic acid,HMDB0000060,100,Newborn (0-30 days old),Male,2-Ketoglutarate dehydrogenase complex deficiency
264,Acetoacetic acid,HMDB0000060,50-1280,Children (1-13 years old),Male,2-Ketoglutarate dehydrogenase complex deficiency
265,Acetoacetic acid,HMDB0000060,910,Children (1-13 years old),Male,Succinyl CoA: 3-ketoacid CoA transferase deficiency
266,Acetoacetic acid,HMDB0000060,1540,Children (1-13 years old),Male,Succinyl CoA: 3-ketoacid CoA transferase deficiency
267,Acetoacetic acid,HMDB0000060,360,Infant (0-1 year old),Male,Pyruvate dehydrogenase phosphatase deficiency
268,Acetoacetic acid,HMDB0000060,23.5 (24.3) ,Adult (>18 years old),Female,Down syndrome pregnancy
269,Acetoacetic acid,HMDB0000060,13.9 (7.3) ,Adult (>18 years old),Female,Pregnancy
270,Acetoacetic acid,HMDB0000060,<30,Children (1-13 years old),Male,3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency
271,L-Carnitine,HMDB0000062,22000-50000,Not Specified,Not Specified,3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency
272,L-Carnitine,HMDB0000062,41.7 +/- 23.9,Adult (>18 years old),Both,Heart Transplant
273,L-Carnitine,HMDB0000062,17,Adult (>18 years old),Male,3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency
274,L-Carnitine,HMDB0000062,47-68,Infant (0-1 year old),Female,3-Hydroxyacyl-CoA dehydrogenase deficiency (SCHAD)
275,L-Carnitine,HMDB0000062,20.6-33.8,Adult (>18 years old),Female,Myopathic carnitine deficiency
276,L-Carnitine,HMDB0000062,0-2.2,Infant (0-1 year old),Female,"Long-chain Fatty Acids, Defect in Transport of"
277,L-Carnitine,HMDB0000062,12,Newborn (0-30 days old),Male,Carnitine palmitoyltransferase deficiency I
278,L-Carnitine,HMDB0000062,0,Infant (0-1 year old),Female,Carnitine transporter defect; primary systemic carnitine deficiency
279,L-Carnitine,HMDB0000062,15,Newborn (0-30 days old),Male,Carnitine palmitoyltransferase deficiency I
280,L-Carnitine,HMDB0000062,37-48,Infant (0-1 year old),Not Specified,Oculocerebrorenal Syndrome of Lowe
281,L-Carnitine,HMDB0000062,26.04 +/- 10.5 ,Adult (>18 years old),Female,Pregnancy with fetuses with trisomy 18
282,L-Carnitine,HMDB0000062,23-72,Children (1-13 years old),Both,Methylmalonic aciduria mitochondrial encephelopathy Leigh-like
283,L-Carnitine,HMDB0000062,15-34,Children (1-13 years old),Not Specified,Oculocerebrorenal Syndrome of Lowe
284,L-Carnitine,HMDB0000062,24.3 +/- 11.7 ,Adult (>18 years old),Female,Pregnancy
285,L-Carnitine,HMDB0000062,9-33,Adolescent (13-18 years old),Not Specified,Oculocerebrorenal Syndrome of Lowe
286,L-Carnitine,HMDB0000062,19-31,Adult (>18 years old),Not Specified,Oculocerebrorenal Syndrome of Lowe
287,L-Carnitine,HMDB0000062,30.2 (6.3) ,Adult (>18 years old),Female,Early preeclampsia
288,L-Carnitine,HMDB0000062,10-21,Infant (0-1 year old),,Mitochondrial trifunctional protein deficiency
289,L-Carnitine,HMDB0000062,31.8 (14.1) ,Adult (>18 years old),Female,Pregnancy
290,L-Carnitine,HMDB0000062,0.7,Infant (0-1 year old),Female,Carnitine transporter defect; primary systemic carnitine deficiency
291,L-Carnitine,HMDB0000062,4.2,Children (1-13 years old),Male,Carnitine transporter defect; primary systemic carnitine deficiency
292,L-Carnitine,HMDB0000062,,Adult (>18 years old),Both,Colorectal cancer
293,L-Carnitine,HMDB0000062,43-51,Infant (0-1 year old),Male,3-Hydroxyacyl-CoA dehydrogenase deficiency (SCHAD)
294,L-Carnitine,HMDB0000062,16.798 (14.323) ,Adult (>18 years old),Female,Pregnancy with fetus having congenital heart defect
295,L-Carnitine,HMDB0000062,15.08 +/- 5.71,Children (1-13 years old),Both,Acetaminophen overdose
296,L-Carnitine,HMDB0000062,21.08 (4.88) ,Adult (>18 years old),Female,Pregnancy with fetus having congenital heart defect
297,L-Carnitine,HMDB0000062,19.98 (4.82) ,Adult (>18 years old),Female,Pregnancy
298,L-Carnitine,HMDB0000062,46.8 (24.8) ,Adult (>18 years old),Female,Late-onset preeclampsia
299,L-Carnitine,HMDB0000062,18-22,Infant (0-1 year old),Male,"2,4-dienoyl-CoA reductase deficiency"
300,L-Carnitine,HMDB0000062,27.8 (20.0) ,Adult (>18 years old),Female,Pregnancy
301,L-Carnitine,HMDB0000062,50.65(14.14),Adult (>18 years old),Both,Heart failure with preserved ejection fraction
302,L-Carnitine,HMDB0000062,47.22(15.19),Adult (>18 years old),Both,Heart failure with preserved ejection fraction
303,L-Carnitine,HMDB0000062,54.38(13.17),Adult (>18 years old),Both,Heart failure with reduced ejection fraction
304,L-Carnitine,HMDB0000062,50.38(8.11),Adult (>18 years old),Both,Heart failure with reduced ejection fraction
305,L-Carnitine,HMDB0000062,20.540 +/- 1.850,Children (1-13 years old),Not Specified,3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency
306,L-Carnitine,HMDB0000062,23-50,Children (1-13 years old),Both,L-2-hydroxyglutaric aciduria
307,L-Carnitine,HMDB0000062,34.0 +/- 8.8,Children (1-13 years old),Both,Obesity
308,L-Carnitine,HMDB0000062,36.2 +/- 8.1,Children (1-13 years old),Both,Obesity
309,L-Carnitine,HMDB0000062,25.5 (9.7) ,Adult (>18 years old),Female,Down syndrome pregnancy
310,L-Carnitine,HMDB0000062,19.5 (8.3) ,Adult (>18 years old),Female,Pregnancy
311,Cortisol,HMDB0000063,1.036,Children (1-13 years old),Male,3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency
312,Cortisol,HMDB0000063,0.235,Newborn (0-30 days old),Female,"Adrenal insufficiency, congenital, with 46,XY sex reversal, partial or complete"
313,Cortisol,HMDB0000063,0.0124-0.455,Newborn (0-30 days old),Male,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
314,Cortisol,HMDB0000063,<0.0276,Newborn (0-30 days old),Female,"Adrenal insufficiency, congenital, with 46,XY sex reversal, partial or complete"
315,Cortisol,HMDB0000063,0.34 (0.028-0.66),Adult (>18 years old),Both,"ACTH deficiency, isolated"
316,Cortisol,HMDB0000063,0.001 (0.0-0.002),Children (1-13 years old),Both,Adrenal Hypoplasia
317,Cortisol,HMDB0000063,0.326 +/- 0.090,Adult (>18 years old),Both,Schizophrenia
318,Cortisol,HMDB0000063,10.55 +/- 1.93,Adult (>18 years old),Both,Schizophrenia
319,Cortisol,HMDB0000063,0.381,Infant (0-1 year old),Female,3-Hydroxyacyl-CoA dehydrogenase deficiency (SCHAD)
320,Cortisol,HMDB0000063,0.135,Children (1-13 years old),Female,Apparent mineralocorticoid excess
321,Cortisol,HMDB0000063,0.300 +/- 0.200,Newborn (0-30 days old),Not Specified,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
322,Cortisol,HMDB0000063,0.684-0.991,Adult (>18 years old),Male,Glucocorticoid resistance
323,Cortisol,HMDB0000063,0.400 +/- 0.200,Children (1-13 years old),Not Specified,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
324,Cortisol,HMDB0000063,0.07,Adult (>18 years old),Male,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
325,Cortisol,HMDB0000063,0.12,Adolescent (13-18 years old),Male,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
326,Cortisol,HMDB0000063,0.290-0.390,Newborn (0-30 days old),Both,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
327,Cortisol,HMDB0000063,0.280-0.480,Children (1-13 years old),Both,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
328,Cortisol,HMDB0000063,0.00615,Newborn (0-30 days old),Male,Glucocorticoid deficiency
329,Cortisol,HMDB0000063,0.353,Newborn (0-30 days old),Male,3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency
330,Cortisol,HMDB0000063,0.360 +/- 0.100,Adult (>18 years old),Male,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
331,Cortisol,HMDB0000063,0.230 +/- 0.120,Infant (0-1 year old),Not Specified,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
332,Cortisol,HMDB0000063,0.300 +/- 0.120,Children (1-13 years old),Both,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
333,Cortisol,HMDB0000063,0.360 +/- 0.120,Adult (>18 years old),Female,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
334,Cortisol,HMDB0000063,<0.138,Adult (>18 years old),Female,Proprotein Convertase 1/3 Deficiency
335,Cortisol,HMDB0000063,,Adult (>18 years old),Male,Schizophrenia
336,Cortisol,HMDB0000063,<0.0280,Infant (0-1 year old),Female,Lipoid Adrenal Hyperplasia
337,Cortisol,HMDB0000063,0.152,Adult (>18 years old),Female,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
338,Cortisol,HMDB0000063,0.556,Newborn (0-30 days old),Female,"Bartter Syndrome, Type 2, Antenatal"
339,Cortisol,HMDB0000063,0.434-0.654,Infant (0-1 year old),Both,Antley-Bixler syndrome with genital anomalies and disordered steroidogenesis
340,Cortisol,HMDB0000063,0.558,Children (1-13 years old),Female,Aromatase deficiency
341,Cortisol,HMDB0000063,0.27 +/- 0.06,Adult (>18 years old),Both,Major affective disorder
342,Cortisol,HMDB0000063,0.0806,Adolescent (13-18 years old),Female,"Adrenal hyperplasia, congenital, due to 17-alpha-hydroxylase deficiency"
343,Cortisol,HMDB0000063,0.41 +/- 0.2,Adult (>18 years old),Both,Tic disorder
344,Cortisol,HMDB0000063,0.0469,Adult (>18 years old),Female,"Adrenal hyperplasia, congenital, due to 17-alpha-hydroxylase deficiency"
345,Cortisol,HMDB0000063,0.221,Infant (0-1 year old),Female,Corticosterone methyloxidase I deficiency- CMO I
346,Cortisol,HMDB0000063,<0.1,Adult (>18 years old),Female,"ACTH deficiency, isolated"
347,Cortisol,HMDB0000063,0.22,Children (1-13 years old),Male,"ACTH deficiency, isolated"
348,Creatine,HMDB0000064,33.8 +/- 37.7,Adult (>18 years old),Both,Heart Transplant
349,Creatine,HMDB0000064,40.3 (28.3-56.6),Adult (>18 years old),Female,Cirrhosis
350,Creatine,HMDB0000064,528 +/- 42,Children (1-13 years old),Male,Hypermethioninemia
351,Creatine,HMDB0000064,25.7  (16.5 -  30.8),Adult (>18 years old),Male,Cirrhosis
352,Creatine,HMDB0000064,30.3 +/- 12.8 ,Adult (>18 years old),Female,Pregnancy with fetuses with trisomy 18
353,Creatine,HMDB0000064,35.6 +/- 15.15 ,Adult (>18 years old),Female,Pregnancy
354,Creatine,HMDB0000064,34.7 (10.6) ,Adult (>18 years old),Female,Early preeclampsia
355,Creatine,HMDB0000064,37.4 (13.0),Adult (>18 years old),Female,Pregnancy
356,Creatine,HMDB0000064,75,Children (1-13 years old),Male,Cerebral creatine deficiency syndrome 1
357,Creatine,HMDB0000064,1,Children (1-13 years old),Female,Cerebral creatine deficiency syndrome 3
358,Creatine,HMDB0000064,,Adult (>18 years old),Both,Colorectal cancer
359,Creatine,HMDB0000064,43.2 +/- 18.10,Adult (>18 years old),Both,Schizophrenia
360,Creatine,HMDB0000064,25.5 (11.41) ,Adult (>18 years old),Female,Pregnancy with fetus having congenital heart defect
361,Creatine,HMDB0000064,23.84 (11.5) ,Adult (>18 years old),Female,Pregnancy
362,Creatine,HMDB0000064,1022.901 +/- 231.298,Adult (>18 years old),Both,Uremia
363,Creatine,HMDB0000064,41.5 (5.9) ,Adult (>18 years old),Female,Late-onset preeclampsia
364,Creatine,HMDB0000064,33.4 (15.6) ,Adult (>18 years old),Female,Pregnancy
365,Creatine,HMDB0000064,121.89(372.94),Adult (>18 years old),Both,Heart failure with reduced ejection fraction
366,Creatine,HMDB0000064,,Adult (>18 years old),Both,Pancreatic cancer
367,Creatine,HMDB0000064,37.4 (13.3) ,Adult (>18 years old),Female,Down syndrome pregnancy
368,Creatine,HMDB0000064,34.4 (11.8) ,Adult (>18 years old),Female,Pregnancy
369,Cholesterol,HMDB0000067,5896.753,Adult (>18 years old),Not Specified,Cholesteryl ester storage disease
370,Cholesterol,HMDB0000067,8198.555,Children (1-13 years old),Not Specified,Cholesteryl ester storage disease
371,Cholesterol,HMDB0000067,,Adult (>18 years old),Male,Prostate cancer
372,Cholesterol,HMDB0000067,5700.0 (5200.0-6200.0),Adult (>18 years old),Both,Hypercholesterolemia
373,Cholesterol,HMDB0000067,2689.747-16035.0288,Children (1-13 years old),Both,Cholesteryl ester storage disease
374,Cholesterol,HMDB0000067,4060,Infant (0-1 year old),Male,3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency
375,Cholesterol,HMDB0000067,<5172.590,Adult (>18 years old),Both,Hyperlipidemia
376,Cholesterol,HMDB0000067,>5172.590,Adult (>18 years old),Both,Cystinosis
377,Cholesterol,HMDB0000067,4836.372 +/- 1215.559,Children (1-13 years old),Both,Cystinosis
378,Cholesterol,HMDB0000067,7725.263 +/- 1629.366,Children (1-13 years old),Both,"Hypercholesterolemia, familial"
379,Cholesterol,HMDB0000067,3801.854,Infant (0-1 year old),Female,Primary Familial Xanthomatosis With Involvement and Calcification of the Adrenals
380,Cholesterol,HMDB0000067,4141.0 (3105.0-5176.0),Adult (>18 years old),Both,Cholesteryl ester storage disease
381,Cholesterol,HMDB0000067,9317.8 (7764.8-10870.8),Children (1-13 years old),Both,Cholesteryl ester storage disease
382,Cholesterol,HMDB0000067,8000.0 (6000.0-10000.0),Children (1-13 years old),Both,Cystinosis
383,Cholesterol,HMDB0000067,4319.113,Adult (>18 years old),Male,27-hydroxylase deficiency
384,Cholesterol,HMDB0000067,4629.468,Adult (>18 years old),Male,Primary Hypomagnesemia
385,Cholesterol,HMDB0000067,3200.0 (2600.0-4100.0),Adult (>18 years old),Both,Acute myelogenous leukemia (AML)
386,Cholesterol,HMDB0000067,2198.351-2405.254,Adolescent (13-18 years old),Female,SC4MOL deficiency
387,Cholesterol,HMDB0000067,2844.924 (2689.747-16035.0288),Children (1-13 years old),Both,Cholesteryl ester storage disease
388,Cholesterol,HMDB0000067,4474.29,Children (1-13 years old),Male,"Chondrodysplasia punctata, X-linked dominant"
389,Cholesterol,HMDB0000067,4189.798,Children (1-13 years old),Male,Desmosterolosis
390,Cholesterol,HMDB0000067,1293.147,Newborn (0-30 days old),Male,Donohue Syndrome
391,Cholesterol,HMDB0000067,4991.549,Infant (0-1 year old),Female,Leptin Deficiency or Dysfunction
392,Cholesterol,HMDB0000067,2190,Adult (>18 years old),Male,Abetalipoproteinemia
393,Cholesterol,HMDB0000067,,Adult (>18 years old),Both,Schizophrenia
394,Cholesterol,HMDB0000067,4250.0585 +/- 658.471,Adult (>18 years old),Both,Apolipoprotein C-II deficiency
395,Cholesterol,HMDB0000067,4980 +/- 2730,Children (1-13 years old),Male,Duchenne Muscular Dystrophy
396,Cholesterol,HMDB0000067,4920 +/- 3640,Children (1-13 years old),Male,Duchenne Muscular Dystrophy
397,Cholesterol,HMDB0000067,2190-2940,Adult (>18 years old),Both,Lecithin:cholesterol Acyltransferase Deficiency
398,Cholesterol,HMDB0000067,4750 (4210-5930),Adult (>18 years old),Both,Lipodystrophy
399,Cholesterol,HMDB0000067,4580 (3740-6040),Adult (>18 years old),Both,"Lipodystrophy, Congenital Generalized"
400,Cholesterol,HMDB0000067,5720 (3830-10030),Children (1-13 years old),Not Specified,Oculocerebrorenal Syndrome of Lowe
401,Cholesterol,HMDB0000067,5060 (4390-6260),Adult (>18 years old),Both,Familial partial lipodystrophy
402,Cholesterol,HMDB0000067,4100,Children (1-13 years old),Male,Lathosterolosis
403,Cholesterol,HMDB0000067,4630 (4030-5460),Adult (>18 years old),Both,Partial lipodystrophy
404,Cholesterol,HMDB0000067,5715.712,Adult (>18 years old),Male,27-hydroxylase deficiency
405,Cholesterol,HMDB0000067,400,Infant (0-1 year old),Both,Smith-Lemli-Opitz syndrome
406,Cholesterol,HMDB0000067,2680 +/- 1850,Adult (>18 years old),,Familial lipoprotein lipase deficiency
407,Cholesterol,HMDB0000067,,Adult (>18 years old),Both,Schizophrenia
408,Epinephrine,HMDB0000068,0.00241 +/- 0.00057,Adult (>18 years old),Both,Head trauma
409,Epinephrine,HMDB0000068,0.000077 +/- 0.000025,Adult (>18 years old),Female,Addison's disease
410,Epinephrine,HMDB0000068,0.001 +/- 0.00036,Adult (>18 years old),Both,Subarachnoid haemorrhage 
411,Epinephrine,HMDB0000068,0.00014 +/- 0.000036,Adult (>18 years old),Male,Addison's disease
412,Epinephrine,HMDB0000068,0.00029 (0.00005-0.00054),Adult (>18 years old),Both,Pheochromocytoma
413,Epinephrine,HMDB0000068,0.0025 (0.0002-0.0048),Adult (>18 years old),Both,Pheochromocytoma
414,Pipecolic acid,HMDB0000070,39.6,Infant (0-1 year old),Both,Infantile Refsum disease
415,Pipecolic acid,HMDB0000070,79.0 (5.0 - 378.0),Adult (>18 years old),Both,Peroxisomal biogenesis defect
416,Pipecolic acid,HMDB0000070,2.8-23,Infant (0-1 year old),Not Specified,Pyridoxine dependency with seizures (PDE)
417,Pipecolic acid,HMDB0000070,2.3,Infant (0-1 year old),Male,Pseudo Zellweger->D-bifunctional protein deficiency
418,Pipecolic acid,HMDB0000070,0-1.66,Children (1-13 years old),Both,Pseudoneonatal adrenoleukodystrophy
419,Pipecolic acid,HMDB0000070,4.1,Newborn (0-30 days old),Female,Rhizomelic chondrodysplasia punctata
420,Pipecolic acid,HMDB0000070,9.22,Newborn (0-30 days old),Not Specified,Zellweger syndrome
421,Pipecolic acid,HMDB0000070,21,Infant (0-1 year old),Male,Peroxisomal biogenesis disorder
422,Pipecolic acid,HMDB0000070,<3.871,Children (1-13 years old),Not Specified,"Adrenoleukodystrophy, X-linked"
423,Pipecolic acid,HMDB0000070,<3.871,Infant (0-1 year old),Not Specified,"Refsum disease, classic, adult-onset"
424,Pipecolic acid,HMDB0000070,0-1.660,Newborn (0-30 days old),Not Specified,Neonatal adrenoleukodystrophy
425,Pipecolic acid,HMDB0000070,0-38.713,Children (1-13 years old),Not Specified,"Refsum disease, juvenile"
426,Pipecolic acid,HMDB0000070,15-64,Children (1 - 13 years old),Male,Infantile Refsum disease
427,Pipecolic acid,HMDB0000070,,Adult (>18 years old),Both,Schizophrenia
428,Pipecolic acid,HMDB0000070,170.335-185.820,Children (1-13 years old),Not Specified,"Refsum disease, infantile"
429,Pipecolic acid,HMDB0000070,232.275-363.898,Children (1-13 years old),Male,"Peroxisomal disorders, new type, liver"
